ipen,determination,multiplication,hivernage,protectionHiv1,protectionHiv2,taxonFamille1,taxonControle,taxonBiblio,periodeDeSemis,idTaxon,secteur
XX 0 FRIBG 19730099,,,,,,Cactaceae,,,,Coryphantha retusa Br. et R.,Serre 1 Am.
XX 0 FRIBG 10000978,,,,,,Asteraceae,,,18 s,Cosmos bipinnatus Cav.,Système 1
XX 0 FRIBG 10000050,,,,,,Asteraceae,,,18 s,Cosmos sulphureus Cav.,Système 1
XX 0 FRIBG 10000979,,,,,,Brassicaceae,,,,Cossonia africana Dur.,Pl. médit.
XX 0 FRIBG 20030451,,,,,,Costaceae,,,05 g,Costus afer Ker-Gawl.,Serre 5
XX 0 IB 002658,,,,,,Costaceae,,,,Costus speciosus (J. König) Sm.,Serre 5
IT 0 FRIBG 20020704,,,,,,Anacardiaceae,,,,Cotinus coggygria Scop.,Steppe val.
XX 0 FRIBG 20140297,,,,,,Anacardiaceae,,,,Cotinus coggygria Scop.,Système 3
XX 0 FRIBG 10000980,,,,,,Anacardiaceae,,,,Cotinus coggygria Scop. 'Purpureus',Entrée AMI
XX 0 FRIBG 19920404,,,,,,Rosaceae,,,,Cotoneaster franchetti Bois,Système 2
XX 0 FRIBG 10000982,,,,,,Rosaceae,,,,Cotoneaster horizontalis Decne. s.l.,Système 2
CH 0 FRIBG 20020676,"Clément Benoit, 2007",,,,,Rosaceae,,,,Cotoneaster integerrimus (Roxb.) G. Klotz,Alp. calcaire 6
XX 0 FRIBG 10000984,,,,,,Rosaceae,,,,Cotoneaster multiflorus Bunge,Système 2
XX 0 FRIBG 10000985,,,,,,Rosaceae,,,,Cotoneaster rotundifolius Lindl.,Système 2
XX 0 FRIBG 10000987,,,,,,Rosaceae,,,,Cotoneaster simonsii Baker,Système 2
XX 0 FRIBG 10000988,,,,,,Rosaceae,,,,Cotoneaster tomentosus Lindley,Alp. calcaire 4
XX 0 FRIBG 19890277,"Enz Peter, 1990",,,Feuilles,,Asteraceae,,,,Cotula coronopifolia L.,Pl. aquatiques
XX 0 FRIBG 20060553,,,,,,Asteraceae,,,,Cotula hispida (DC) Harv.,Rocaille 3
LS 1 M 2007/0768,,,,,,Asteraceae,,,,Cotula socialis Hilliard,Rocaille 2
ZA 0 FRIBG 19920618,,,,,,Crassulaceae,,,,Cotyledon orbiculata L.,Serre 1 S-Afr.
XX 0 FRIBG 19730550,,,,,,Crassulaceae,,,,Cotyledon orbiculata L. var. orbiculata,Serre 1 S-Afr.
XX 0 FRIBG 19900704,,,,,,Crassulaceae,,,,Cotyledon orbiculata L. var. orbiculata,Serre 1 S-Afr.
XX 0 FRIBG 20110145,,,,,,Crassulaceae,,,,Cotyledon orbiculata var. oblonga (Haw.) DC.,Multiplication
XX 0 FRIBG 20070565,Jakob C 2014,,,,,Crassulaceae,,,,Cotyledon pendens van Jaarsv.,Serre 1 S-Afr.
XX 0 FRIBG 20070558,,,,,,Crassulaceae,,,,Cotyledon sp.,Serre 1 S-Afr.
XX 0 FRIBG 20200082,,,,,Châssis,Brassicaceae,,,,Crambe maritima L.,Système 3
XX 0 FRIBG 10000990,,,,,,Crassulaceae,,,,Crassula cordata Thunb.,Multiplication
XX 0 FRIBG 20020256,,,,,,Crassulaceae,,,,Crassula deceptor Schönland et Baker f.,Serre 1 S-Afr.
XX 0 FRIBG 10000992,,,,,,Crassulaceae,,,,Crassula exilis subsp. cooperi (Regel) Toelken,Serre 1 S-Afr.
XX 0 FRIBG 19730561,,,,,,Crassulaceae,,,,Crassula lactea Aiton,Serre 1 S-Afr.
XX 0 FRIBG 20120313,,,,,,Crassulaceae,,,,Crassula mesembrianthemopsis Dinter,Serre 1 S-Afr.
XX 0 FRIBG 10000991,,,,,,Crassulaceae,,,,Crassula muscosa L. var. muscosa,Serre 1 S-Afr.
XX 0 FRIBG 19730569,,,,,,Crassulaceae,,,,Crassula ovata (Mill.) Druce,Serre 1 S-Afr.
XX 0 FRIBG 19730532,,,,,,Crassulaceae,,,,Crassula perfoliata var. minor (Haw.) G.D. Rowley,Serre 1 S-Afr.
XX 0 FRIBG 19730548,,,,,,Crassulaceae,,,,Crassula perforata Thunb.,Serre 1 S-Afr.
XX 0 FRIBG 20010125,,,,,,Crassulaceae,,,,Crassula setulosa var. curta (N.E. Br.) Schönland,Rocaille 1
XX 0 FRIBG 20130238,,,,,,Crassulaceae,,,,Crassula setulosa var. curta (N.E. Br.) Schönland,Rocaille 3
XX 0 FRIBG 20120315,,,,,,Crassulaceae,,,,Crassula tecta Thunb.,Serre 1 S-Afr.
XX 0 FRIBG 20030016,,,,,,Crassulaceae,,,,Crassula tetragona subsp. robusta (Toelken) Toelken,Serre 1 S-Afr.
XX 0 FRIBG 20120345,,,,,,Crassulaceae,,,,Crassulaceae,Serre 1 Am.
XX 0 FRIBG 20070572,,,,,,Crassulaceae,,,,Crassulaceae,Serre 1 S-Afr.
CH 0 FRIBG 20070506,? voir observation,,,,,Rosaceae,,,,Crataegus laevigata (Poir.) DC,Médicinal
XX 0 FRIBG 10000993,,,,,,Rosaceae,,,,Crataegus laevigata DC. 'Rubra Plena',Système 2
XX 0 FRIBG 20170006,,,,,,Orchidaceae,,,,Cremastra appendiculata (D.Don) Makino,Serre froide
XX 0 FRIBG 19980230,"Thöni Erich Neyruz/ Schöpfer Josef, 2000",,,,,Asteraceae,,,,Crepis aurea (L.) Cass.,Alp. siliceux
AT 0 SZU 2018-84,,,,,,Asteraceae,,,14,Crepis biennis L.,Système 1
CH 0 BERN 2007/219 W S,,,,,,Asteraceae,,,,Crepis bocconei P.D. Sell.,Alp. calcaire 4
CH 0 Z 20060914,,,,,,Asteraceae,,,,Crepis bocconei P.D. Sell.,Alp. calcaire 3
CH 0 FRIBG 20140407,,,,,,Asteraceae,,,,Crepis pyrenaica (L.) Greuter,Alp. calcaire 2
XX 0 MB 1981/674,,,,,,Bignoniaceae,,,,Crescentia cujete L.,Serre 5
XX 0 FRIBG 19920520,,,,,,Amaryllidaceae,,,,Crinum asiaticum L.,Serre 4
GR 0 FRIBG 20020264,"Sciboz Jacques, 2004",,,Châssis,,Apiaceae,,,,Crithmum maritimum L.,Pl. médit.
XX 0 FRIBG 20030212,,,Orangerie,,,Iridaceae,,,,Crocosmia masoniorum (L. Bolus) N.E. Br. 'Luzifer',Géophytes
XX 0 FRIBG 19950617,,,,,,Iridaceae,,,,Crocosmia x crocosmiflora N. E. Br.,Géophytes
CH 0 FRIBG 20020250,"Clément Benoit, 2007",,,,,Iridaceae,,,,Crocus albiflorus Kit.,Alp. calcaire 6
CH 0 FRIBG 20100427,,,,,,Iridaceae,,,,Crocus albiflorus Kit.,Alp. calcaire 4
XX 0 FRIBG 20110359,,,,,,Iridaceae,,,,Crocus ancyrensis (Herb.)Maw.,Géophytes
XX 0 FRIBG 19950662,,,,,,Iridaceae,,,,Crocus angustifolius Weston,Géophytes
TR 0 FRIBG 20040670,,,,,,Iridaceae,,,,Crocus biflorus subsp. pulchricolor (Herbert) B. Mathew,Rocaille 2
MK 0 WURZB 88-173-K-14,,,,,,Iridaceae,,,,Crocus chrysanthus (Herb.) Herb.,Géophytes
IT 0 FRIBG 20070204,,,,,,Iridaceae,,,,Crocus etruscus Parl.,Rocaille 2
IT 0 FRIBG 20090237,,,,,,Iridaceae,,,,Crocus etruscus Parl.,Géophytes
XX 0 FRIBG 19950668,,,,,,Iridaceae,,,,Crocus flavus Weston,Géophytes
XX 0 FRIBG 19960482,,,,,,Iridaceae,,,,Crocus fleischeri Gay,Géophytes
GR 0 WURZB 00-39-K-34,,,,,,Iridaceae,,,,Crocus hadriaticus Herb.,Géophytes
AT 0 KL 2007/175,,,,,,Iridaceae,,,,Crocus heuffelianus Herb. s.l.,Géophytes
IL 0 FRIBG 20130040,,,,,,Iridaceae,,,,Crocus hyemalis Boiss. & Blanche,Géophytes
XX 0 WURZB 83-122-K-74,,,,,,Iridaceae,,,,Crocus imperati Ten.,Géophytes
XX 0 WUZB XX-494-K-83,,,,,,Iridaceae,,,,Crocus kotschyanus K. Koch,Géophytes
XX 0 FRIBG 20100063,,,,,,Iridaceae,,,,Crocus kotschyanus K. Koch,Géophytes
XX 0 FRIBG 20090185,,,,,,Iridaceae,,,,Crocus longiflorus Raf.,Géophytes
HU 0 FRIBG 20160044,,,,,,Iridaceae,,,,Crocus malyi Vis.,Rocaille 1
XX 0 FRIBG 20031076,,,,,,Iridaceae,,,,Crocus minimus DC.,Rocaille 1
GR 0 FRIBG 20090258,,,,,,Iridaceae,,,,Crocus nivalis Bory et Chaub.,Géophytes
XX 0 FRIBG 20031074,,,,,,Iridaceae,,,,Crocus ochroleucus Boiss. et Gaill.,Rocaille 2
XX 0 FRIBG 20031077,,,,,,Iridaceae,,,,Crocus olivieri subsp. balansae (Baker) B. Mathew,Rocaille 1
XX 0 FRIBG 20060032,,,,,,Iridaceae,,,,Crocus pulchellus Herb.,Géophytes
XX 0 WURZB 85-219-K-74,,,,,,Iridaceae,,,,Crocus pulchellus Herb.,Système 4
XX 0 FRIBG 20190327,,,,,,Iridaceae,,,,Crocus sativus L.,Système 4
XX 0 FRIBG 20030952,,,,,,Iridaceae,,,,Crocus sativus L.,Géophytes
XX 0 FRIBG 20030952,,,,,,Iridaceae,,,,Crocus sativus L.,Mur
XX 0 FRIBG 20031073,,,,,,Iridaceae,,,,Crocus serotinus subsp. salzmannii (J. Gay) B. Mathew,Rocaille 2
XX 0 WURZB 94-218-K-24,,,,,,Iridaceae,,,,Crocus serotinus subsp. salzmannii (J. Gay) B. Mathew,Géophytes
ES 0 WURZB 84-229-K-24,,,,,,Iridaceae,,,,Crocus serotinus subsp. salzmannii (J. Gay) B. Mathew,Géophytes
XX 0 FRIBG 20031075,,,,,,Iridaceae,,,,Crocus sieberi subsp. atticus (Boiss. et Orph.) B. Mathew,Rocaille 1
XX 0 FRIBG 20090126,,,,,,Iridaceae,,,,Crocus speciosus M. Bieb.,Géophytes
XX 0 FRIBG 20060119,,,,,,Iridaceae,,,,Crocus tommasinianus Herb.,Géophytes
XX 0 FRIBG 20090278,,,,,,Iridaceae,,,,Crocus tommasinianus Herb.,Géophytes
XX 0 FRIBG 20090086,,,,,,Iridaceae,,,,Crocus vernus (L.) Hill,Géophytes
RO 0 FRIBG 20100313,,,,,,Iridaceae,,,,Crocus vernus (L.) Hill subsp. vernus,Géophytes
XX 0 FRIBG 19960484,,,,,,Iridaceae,,,,Crocus versicolor Ker Gawl.,Géophytes
XX 0 FRIBG 20090047,,,,,,Acanthaceae,,,,Crossandra infundibuliformis (L.) Nees,Serre 4
XX 0 FRIBG 10000996,,,,,,Rubiaceae,,,,Cruciata laevipes Opiz,Système 1
XX 0 FRIBG 10003181,,,,,,Bromeliaceae,,,,Cryptanthus acaulis (Lindl.) Beer var. acaulis,Serre 4
XX 0 FRIBG 10003181,,,,,,Bromeliaceae,,,,Cryptanthus acaulis (Lindl.) Beer var. acaulis,Serre 2
XX 0 FRIBG 20070569,Christine 2021,,,,,Bromeliaceae,,,,Cryptanthus bivittatus (Hook.) Regel,Serre 4
XX 0 FRIBG 20070569,Christine 2021,,,,,Bromeliaceae,,,,Cryptanthus bivittatus (Hook.) Regel,Serre 2
XX 0 FRIBG 10003227,,,,,,Bromeliaceae,,,,Cryptanthus sp.,Serre 4
XX 0 FRIBG 10003227,,,,,,Bromeliaceae,,,,Cryptanthus sp.,Serre 2
XX 0 FRIBG 20030781,,,,,,Taxodiaceae,,,,Cryptomeria japonica (L.f.) D.Don,Arboretum
FR 0 BERN 2016/176 W S,,,,,,Caryophyllaceae,,,,Cucubalus baccifer L.,Système 3
XX 0 FRIBG 10001001,,,,,,Cucurbitaceae,,,18 s,Cucumis sativus L. (concombre),Système 2
XX 0 FRIBG 10001002,,,,,,Cucurbitaceae,,,18 s,Cucumis sativus L. (cornichon),Système 2
XX 0 FRIBG 10000107,,,,,,Cucurbitaceae,,,18 s,Cucurbita ficifolia Bouché,Système 2
XX 0 FRIBG 10001003,,,,,,Cucurbitaceae,,,18 s,Cucurbita maxima Duchesne,Système 2
XX 0 FRIBG 10001004,,,,,,Cucurbitaceae,,,18 s,Cucurbita moschata Duch.,Système 2
XX 0 FRIBG 10001006,,,,,,Cucurbitaceae,,,18 s,Cucurbita pepo L. Ornamental Gourd Group,Système 2
XX 0 FRIBG 10001007,,,,,,Cucurbitaceae,,,18 s,Cucurbita pepo L. Scallop Group,Système 2
XX 0 FRIBG 10001008,,,,,,Cucurbitaceae,,,18 s,Cucurbita pepo L. Styrian Hulless Group,Système 2
XX 0 FRIBG 10001008,,,,,,Cucurbitaceae,,,18 s,Cucurbita pepo L. Styrian Hulless Group,Mur
XX 0 FRIBG 10001005,,,,,,Cucurbitaceae,,,18 s,Cucurbita pepo L. Zucchini Group,Système 2
XX 0 FRIBG 20031181,,,Couches,,,Lythraceae,,,,Cuphea ignea A. DC.,Système 3
XX 0 MJG 19-69680,Fragnière Yann,,,,,Lythraceae,,,17 s,Cuphea lanceolata W.T. Aiton,Système 3
IR 0 FRIBG 19900037,,,,,,Cupressaceae,,,,Cupressus sempervirens L.,Pl. médit.
XX 0 FRIBG 20150363,,,,Feuilles,Voile de protection,Cupressaceae,,,,Cupressus sempervirens L.,Système 4
XX 0 FRIBG 19900276,,Division,,,,Zingiberaceae,,,,Curcuma longa L.,Serre 5
XX 0 FRIBG 19400001,,,,,,Zingiberaceae,,,,Curcuma zedoaria Roscoe,Serre 5
XX 0 FRIBG 20180479,,,,,,Tecophilaeaceae,,,,Cyanastrum cordifolium Oliv.,Serre 4
XX 0 FRIBG 10000290,,,,,,Cycadaceae,,,,Cycas circinalis L.,Serre 5
XX 0 FRIBG 19980395,,,Orangerie,,,Cycadaceae,,,,Cycas revoluta Thunb.,Pl. d'orangerie
XX 0 FRIBG 10003033,,,Orangerie,,,Cycadaceae,,,,Cycas revoluta Thunb.,Pl. d'orangerie
TR 0 FRIBG 20150015,,,,,,Primulaceae,,,,Cyclamen cilicium Boiss. & Heldr.,Rocaille 3
XX 0 FRIBG 20040235,,,,,,Primulaceae,,,,Cyclamen coum Mill. subsp. coum,Rocaille 2
IR 0 FRIBG 20150014,,,,,,Primulaceae,,,,Cyclamen coum subsp. elegans (Boiss. & Buhse) Grey-Wilson,Rocaille 3
GR 0 FRIBG 20150016,,,,,,Primulaceae,,,,Cyclamen creticum (Dörfl.) Hildebr.,Rocaille 1
XX 0 FRIBG 19860021,"Clément Benoit, 2002",,,,,Primulaceae,,,,Cyclamen hederifolium Aiton,Alp. calcaire 1
XX 0 FRIBG 19860021,"Clément Benoit, 2002",,,,,Primulaceae,,,,Cyclamen hederifolium Aiton,Pl. protégées
XX 0 FRIBG 10002824,,,,,,Primulaceae,,,,Cyclamen purpurascens Mill.,Alp. calcaire 1
XX 0 FRIBG 10002958,,,,,,Primulaceae,,,,Cyclamen purpurascens Mill.,Pl. protégées
XX 0 FRIBG 10002823,"Clément Benoit, 2002",,,,,Primulaceae,,,,Cyclamen purpurascens Mill.,Alp. calcaire 3
XX 0 FRIBG 10001014,,,,,,Cucurbitaceae,,,16 s,Cyclanthera brachystachya (Ser.) Cogn.,Système 2
XX 0 FRIBG 10000108,,,,,,Cucurbitaceae,,,16 s,Cyclanthera pedata (L.) Schrad.,Système 2
XX 0 FRIBG 20070265,,,,,,Rosaceae,,,,Cydonia oblonga var. maliformis (Mill.) C.K. Schneid. 'Ronda' (forme de pomme),Place du bouleau
XX 0 FRIBG 10001711,,,,,,Cactaceae,,,,Cylindropuntia imbricata (Haw.) F.M.Knuth,Pavillon vert
XX 0 FRIBG 19730005,,,,,,Cactaceae,,,,Cylindropuntia imbricata (Haw.) F.M.Knuth fo. cristata,Serre 1 Am.
XX 0 FRIBG 10001018,,,,,,Plantaginaceae,,,,Cymbalaria muralis P. Gaertn. et al.,Système 1
XX 0 FRIBG 10001018,,,,,,Plantaginaceae,,,,Cymbalaria muralis P. Gaertn. et al.,Place du tilleul
XX 0 FRIBG 19900939,,,,,,Orchidaceae,,,,Cymbidium dayanum Rchb. f. var. simulans,Serre 2
XX 0 FRIBG 10000270,,,,,,Orchidaceae,,,,Cymbidium lowianum Rchb. f.,Serre 2
XX 0 FRIBG 10001021,,,,Feuilles,Châssis,Asteraceae,,,14 s,Cynara cardunculus L. subsp. cardunculus,Système 1
XX 0 FRIBG 10001020,,,,Feuilles,,Asteraceae,,,,Cynara cardunculus subsp. scolymus Beger,Mur
XX 0 FRIBG 10001022,"Sciboz Jacques, 1997",,,,,Boraginaceae,,,18,Cynoglossum officinale L.,Système 1
XX 0 FRIBG 20170017,,,,,,Orchidaceae,,,,Cynorkis gibbosa Ridl.,Serre froide
DE 0 TUEB 5976,,,,,,Poaceae,,,,Cynosurus cristatus L.,Système 4
XX 0 FRIBG 20090048,,,,,,Cyperaceae,,,,Cyperus esculentus L.,Serre 5
XX 0 FRIBG 19910674,,Division,,,,Cyperaceae,,,,Cyperus friburgensis Boeck.,Serre 4
XX 0 FRIBG 10003183,,Division,,,,Cyperaceae,,,,Cyperus gracilis R. Br.,Serre 4
XX 0 FRIBG 10000291,,,,,,Cyperaceae,,,,Cyperus papyrus L.,Serre 5
XX 0 FRIBG 19910588,,Division,,,,Cyperaceae,,,,Cyperus textilis Thunb.,Serre 4
NA 0 UNKAR 2011-5767,,,,,,Vitaceae,,,,Cyphostemma bainesii Dose,Multiplication
XX 0 FRIBG 19730565,,,,,,Vitaceae,,,,Cyphostemma juttae (Dinter et Gilg) Desc.,Serre 1 S-Afr.
CH 0 FRIBG 10001024,"Clément Benoit, 2002",,,,,Orchidaceae,,,,Cypripedium calceolus L.,Pl. protégées
CH 0 FRIBG 10002561,"Clément Benoit, 2002",,,,,Orchidaceae,,,,Cypripedium calceolus L.,Alp. calcaire 1
CH 0 FRIBG 20140366,,,,,,Orchidaceae,,,,Cypripedium calceolus L.,Pl. protégées
XX 0 FRIBG 20170062,,,,,,Orchidaceae,,,,Cypripedium formosanum Hayata,Serre froide
XX 0 FRIBG 20050229,,,,,,Cyrillaceae,,,,Cyrilla racemiflora L.,Système 2
XX 0 FRIBG 20010422,,,,,,Amaryllidaceae,,,,Cyrtanthus labiatus R.A. Dyer,Serre 1 S-Afr.
XX 0 FRIBG 19960363,,,,,,Amaryllidaceae,,,,Cyrtanthus purpureus (Aiton) Herb.,Serre 1 S-Afr.
XX 0 FRIBG 10001025,,,,,,Amaryllidaceae,,,,Cyrtanthus purpureus (Aiton) Herb. 'Minor',Serre 1 S-Afr.
XX 0 FRIBG 19910625,,,,,,Polypodiaceae,,,,Cyrtomium falcatum C. Presl,Serre 4
CH 0 FRIBG 20020634,"Clément Benoit, 2003",,,,,Aspleniaceae,,,,Cystopteris fragilis (L.) Bernh.,Alp. calcaire 1
FI 0 FRIBG 20040343,,,,,,Fabaceae,,,,Cytisophyllum sessilifolium (L.) O. Lang,Système 2
XX 0 FRIBG 10001026,,,,,,Fabaceae,,,,Cytisus canariensis O. Kuntze,Pl. médit.
XX 0 FRIBG 10001027,,,,,,Fabaceae,,,,Cytisus decumbens (Durande) Spach.,Système 2
FR 0 FRIBG 20070416,Kozlowski Gregor. 2011,,,,,Fabaceae,,,,Cytisus decumbens (Durande) Spach.,Rocaille 2
FR 0 FRIBG 20070067,,,,,,Fabaceae,,,,Cytisus hirsutus subsp. pumilus (De Not.) Kerguélen,Rocaille 2
XX 0 FRIBG 20160305,,,,,,Fabaceae,,,,Cytisus nigricans L.,Système 2
FR 0 FRIBG 20150399,,,,,,Fabaceae,,,,Cytisus scoparius (L.) Link,Système 2
XX 0 FRIBG 19890330,"Thöni Erich Neyruz/ Schöpfer Josef, 1997",,,,,Poaceae,,,,Dactylis glomerata L.,Système 4
CH 0 FRIBG 20040576,"Clément Benoit, 2004",,,,,Orchidaceae,,,,Dactylorhiza maculata (L.) Soo,Pl. protégées
XX 0 FRIBG 10003015,,,,,,Orchidaceae,,,,Dactylorhiza maculata (L.) Soo,Alp. calcaire 2
XX 0 FRIBG 10003045,,,,,,Orchidaceae,,,,Dactylorhiza maculata (L.) Soo,Pl. protégées
CH 0 FRIBG 20100519,Castella H.,,,,,Orchidaceae,,,,Dactylorhiza maculata (L.) Soo,Système 4
AT 0 FRIBG 20160033,Schöpfer Josef 2017,,,,,Orchidaceae,,,,Dactylorhiza majalis (Rchb.) P. F. Hunt & Summerh.,Zone humide
XX 0 FRIBG 10003186,,Bouture,,,,Acanthaceae,,,,Daedalacanthus nervosus (Vahl) T. Anderson,Serre 4
XX 0 FRIBG 20030378,"Bollinger Susanne, 2004",,Cave,,,Asteraceae,,,,Dahlia pinnata Cav.,Système 1
FR 0 FRIBG 20060340,,,,,,Thymelaeaceae,,,,Daphne alpina L.,Pl. protégées
FR 0 FRIBG 20060340,,,,,,Thymelaeaceae,,,,Daphne alpina L.,Alp. calcaire 3
FR 0 FRIBG 20060340,,,,,,Thymelaeaceae,,,,Daphne alpina L.,Alp. calcaire 4
XX 0 FRIBG 10002974,,,,,,Thymelaeaceae,,,,Daphne cneorum L.,Alp. calcaire 4
BG 0 IB 005951,,,,,,Thymelaeaceae,,,,Daphne kosaninii Stoj.,Rocaille 2
TR 0 IB 005953,,,,,,Thymelaeaceae,,,,Daphne kurdica (Bornm.) Bornm.,Système 3
CH 0 FRIBG 19900085,"Clément Benoit, 2002",,,,,Thymelaeaceae,,,,Daphne mezereum L.,Pl. protégées
CH 0 FRIBG 20070457,,,,,,Thymelaeaceae,,,,Daphne mezereum L.,Alp. calcaire 3
XX 0 FRIBG 10001034,,,,Feuilles,,Thymelaeaceae,,,,Daphne pontica L.,Pl. médit.
XX 0 FRIBG 20010133,,,,,,Thymelaeaceae,,,,Daphne retusa Hemsley,Rocaille 2
XX 0 FRIBG 10001037,,,,,,Saxifragaceae,,,,Darmera peltata (Benth.) Voss,Système 2
XX 0 FRIBG 19430002,,,,,,Datiscaceae,,,,Datisca cannabina L.,Système 2
XX 0 FRIBG 10000109,"Sciboz Jacques, 2004",,,,,Solanaceae,,,14 s,Datura innoxia Mill.,Système 1
XX 0 FRIBG 10001039,"Sciboz Jacques, 2004",,,,,Solanaceae,,,14 s,Datura stramonium L. var. stramonium,Système 1
XX 0 FRIBG 10001039,"Sciboz Jacques, 2004",,,,,Solanaceae,,,14 s,Datura stramonium L. var. stramonium,Médicinal
XX 0 FRIBG 10000110,"Sciboz Jacques, 2004",,,,,Solanaceae,,,14 s,Datura stramonium var. godronii Danert,Système 1
XX 0 FRIBG 10001040,,,,,,Apiaceae,,,14,Daucus carota L.,Système 1
XX 0 FRIBG 10001040,,,,,,Apiaceae,,,14,Daucus carota L.,Médicinal
XX 0 FRIBG 10003185,,,,,,Polypodiaceae,,,,Davallia bullata Wall.,Serre 4
ES 0 FRIBG 19930529,,,,,,Polypodiaceae,,,,Davallia canariensis (L.) Sm.,Serre 1 Canar.
XX 0 FRIBG 20150346,,,,,,Nyssaceae,,,,Davidia involucrata Baill. s.l.,Système 2
XX 0 FRIBG 20140544,,,,,,Lardizabalaceae,,,,Decaisnea insignis (Griff.) Hook.f. & Thomson,Système 3
XX 0 FRIBG 10002564,,,,,,Lardizabalaceae,,,,Decaisnea insignis (Griff.) Hook.f. & Thomson,Cour
,,,,,,Lardizabalaceae,,,,Decaisnea insignis (Griff.) Hook.f. & Thomson,Pourtour engazonné du système
XX 0 TEBLI 00751,,,,,,Ranunculaceae,,,,Delphinium brunonianum Royle,Système 3
XX 0 TEBLI 01351,,,,,,Ranunculaceae,,,,Delphinium caucasicum C.A.Mey,Système 3
CH 0 FRIBG 20180426,,,,,,Ranunculaceae,,,,Delphinium elatum L.,Pl. protégées
CH 0 FRIBG 20140427,,,,,,Ranunculaceae,,,,Delphinium elatum L.,Alp. calcaire 1
MN 0 BONN 26261,,,,,,Ranunculaceae,,,17 s,Delphinium grandiflorum L.,Système 3
XX 0 FRIBG 20170376,,,,,,Ranunculaceae,,,,Delphinium semibarbatum Boiss. cv 'Sulphur Spike',Place du tilleul
XX 0 BERN 2001/170 G S,,,,Châssis,,Ranunculaceae,,,,Delphinium staphisagria L.,Pl. médit.
XX 0 FRIBG 20160486,,,,,,Ranunculaceae,,,,Delphinium vestitum Royle,Place du tilleul
XX 0 FRIBG 20160486,,,,,,Ranunculaceae,,,,Delphinium vestitum Royle,Système 3
TH 1 FRIBG 19900923,,,,,,Orchidaceae,,,,Dendrobium aphyllum (Roxb.) C.E.C. Fisch.,Serre 2
TH 1 FRIBG 19900924,,,,,,Orchidaceae,,,,Dendrobium aphyllum (Roxb.) C.E.C. Fisch.,Serre 2
TH 1 FRIBG 19900918,,,,,,Orchidaceae,,,,Dendrobium aphyllum (Roxb.) C.E.C. Fisch.,Serre 2
TH 1 FRIBG 19900919,,,,,,Orchidaceae,,,,Dendrobium aphyllum (Roxb.) C.E.C. Fisch.,Serre 2
TH 1 FRIBG 19900920,,,,,,Orchidaceae,,,,Dendrobium aphyllum (Roxb.) C.E.C. Fisch.,Serre 2
TH 1 FRIBG 19900922,,,,,,Orchidaceae,,,,Dendrobium aphyllum (Roxb.) C.E.C. Fisch.,Serre 4
XX 0 FRIBG 19960416,,,,,,Orchidaceae,,,,Dendrobium densiflorum Wall.,Serre 2
XX 0 FRIBG 19920536,,,,,,Orchidaceae,,,,Dendrobium fimbriatum Hook,Serre 4
XX 0 FRIBG 19960315,JB Bern 1996,,,,,Orchidaceae,,,,Dendrobium kingianum Bidwill,Serre 2
XX 0 FRIBG 19960417,,,,,,Orchidaceae,,,,Dendrobium kingianum Bidwill,Serre 2
XX 0 FRIBG 10000271,,,,,,Orchidaceae,,,,Dendrobium kingianum Bidwill,Serre 2
XX 0 FRIBG 10000259,,,,,,Orchidaceae,,,,Dendrobium moschatum Sw.,Serre 4
XX 0 FRIBG 19960418,,,,,,Orchidaceae,,,,Dendrobium nobile Lindl.,Serre 4
TH 1 FRIBG 19900914,,,,,,Orchidaceae,,,,Dendrobium parishii Rchb. f.,Serre 2
TH 1 FRIBG 19900901,,,,,,Orchidaceae,,,,Dendrobium parishii Rchb. f.,Serre 2
TH 1 FRIBG 19900892,,,,,,Orchidaceae,,,,Dendrobium senile Parish et Rchb. f.,Serre 2
XX 0 FRIBG 20070446,,,,,,Orchidaceae,,,,Dendrobium sp.,Serre 2
XX 0 FRIBG 20000330,,,,,,Orchidaceae,,,,Dendrobium speciosum Sm.,Serre 2
XX 0 FRIBG 20160524,,,,,,Orchidaceae,,,,Dendrobium tetragonum Lindl.,Serre 2
XX 0 FRIBG 19670002,,,,,,Orchidaceae,,,,Dendrobium thyrsiflorum B.S. Williams,Serre 4
XX 0 FRIBG 10000272,"Vincent Luc , 1998",,,,,Orchidaceae,,,,Dendrochilum cobbianum Rchb. f.,Serre 2
XX 0 FRIBG 19960520,,,,,,Orchidaceae,,,,Dendrochilum cobbianum Rchb. f.,Serre 2
XX 0 Z 20051240,,,,,,Orchidaceae,,,,Dendrochilum filiforme Lindl.,Serre 2
XX 0 FRIBG 19770006,,,,,,Fabaceae,,,,Derris elliptica Benth.,Serre 5
XX 0 FRIBG 10001044,"Thöni Erich Neyruz/ Schöpfer Josef, 1997",,,,,Poaceae,,,,Deschampsia cespitosa (L.) P. Beauv.,Système 4
XX 0 FRIBG 20030550,,,,,,Fabaceae,,,,Desmodium canadense DC.,Système 2
XX 0 FRIBG 20150347,,,,,,Hydrangeaceae,,,,Deutzia scabra Thunb. 'Pride of Rochester',Système 2
AT 0 FRIBG 20050151,,,,,,Caryophyllaceae,,,,Dianthus alpinus L.,Rocaille 3
XX 0 FRIBG 19900253,,,,,,Caryophyllaceae,,,,Dianthus arenarius L.,Système 3
XX 0 FRIBG 20140521,,,,,,Caryophyllaceae,,,16 s,Dianthus armeria L.,Système 3
