;ipen;determination;multiplication;hivernage;protectionHiv1;protectionHiv2;taxonFamille1;taxonControle;taxonBiblio;periodeDeSemis;idTaxon;secteur;matched_name;fuzzy_match_score;Inventaire FRIBG;is_approximate_match;is_synonym;nomenclature_code;score;search_string;taxon.flags;taxon.is_suppressed;taxon.is_suppressed_from_synth;taxon.name;taxon.ott_id;taxon.rank;taxon.source;taxon.synonyms;taxon.tax_sources;taxon.unique_name;_merge;ott_id;organism_otol_kingdom;organism_otol_phylum;organism_otol_class;organism_otol_order;organism_otol_family;organism_otol_genus;organism_otol_species;organism_otol_unique_name;organism_otol_kingdom_ott_id_ott_id;organism_otol_phylum_ott_id;organism_otol_class_ott_id;organism_otol_order_ott_id;organism_otol_family_ott_id;organism_otol_genus_ott_id;organism_otol_species_ott_id;flags;rank;names_pipe_separated;wikidataId;wd_taxa_qid
;XX 0 FRIBG 20100208;;;;;;Malvaceae;;;13 g;Hibiscus cannabinus L.;Serre 5;Hibiscus cannabinus;95;hibiscus cannabinus;False;False;ICN;1;hibiscus cannabinus;[];False;False;Hibiscus cannabinus;393745;species;ott3.3draft1;['Abelmoschus congener', 'Abelmoschus verrucosus', 'Furcaria cannabina', 'Furcaria cavanillesii', 'Hibiscus asper', 'Hibiscus cannabinus punctatus', 'Hibiscus cannabinus simplex', 'Hibiscus congener', 'Hibiscus cordofanus', 'Hibiscus malangensis', 'Hibiscus obtusatus', 'Hibiscus sabdariffa cannabinus', 'Hibiscus vanderystii', 'Hibiscus verrucosus', 'Hibiscus vitifolius', 'Hibiscus wightianus', 'Ketmia glandulosa', 'Kosteletzkya vitifolia'];['ncbi:229543', 'gbif:3152547', 'irmng:10199025'];Hibiscus cannabinus;both;393745;Archaeplastida;Streptophyta;Magnoliopsida;Malvales;Malvaceae;Hibiscus;;Hibiscus cannabinus;5268475;916750;99252;229284;279960;83402;;[];species;Hibiscus cannabinus;http://www.wikidata.org/entity/Q1137540;Q1137540
;XX 0 BRUGL 1/1994 G S;;;;;;Malvaceae;;;13 g;Hibiscus sabdariffa L. s.l.;Serre 5;Hibiscus sabdariffa;95;hibiscus sabdariffa;False;False;ICN;1;hibiscus sabdariffa;[];False;False;Hibiscus sabdariffa;120930;species;ott3.3draft1;['Abelmoschus cruentus', 'Furcaria sabdariffa', 'Hibiscus acetosus', 'Hibiscus digitatus', 'Hibiscus fraternus', 'Hibiscus gossypifolius', 'Hibiscus masuianus', 'Hibiscus palmatilobus', 'Hibiscus sabbariffa', 'Hibiscus sanguineus', 'Sabdariffa digitata', 'Sabdariffa rubra'];['ncbi:183260', 'gbif:3152582', 'irmng:10199024', 'irmng:11195496'];Hibiscus sabdariffa;both;120930;Archaeplastida;Streptophyta;Magnoliopsida;Malvales;Malvaceae;Hibiscus;;Hibiscus sabdariffa;5268475;916750;99252;229284;279960;83402;;[];species;Hibiscus sabdariffa;http://www.wikidata.org/entity/Q319390;Q319390
;XX 0 FRIBG 20150381;;;;;;Malvaceae;;;13g;Hibiscus tiliaceus L.;Serre 5;Hibiscus tiliaceus;95;hibiscus tiliaceus;False;True;ICN;1;hibiscus tiliaceus;[];False;False;Talipariti tiliaceum;120948;species;ott3.3draft1;['? tricuspe', 'Abelmoschus guineensis', 'Hibiscus abutiloides', 'Hibiscus boninensis', 'Hibiscus circinnatus', 'Hibiscus elatus', 'Hibiscus guineensis', 'Hibiscus tiliaceus', 'Hibiscus tiliaceus albiflorus', 'Hibiscus tiliaceus elatus', 'Hibiscus tiliaceus henryanus', 'Hibiscus tiliaceus immaculatus', 'Hibiscus tiliaceus purpurascens', 'Hibiscus tiliaceus sterilis', 'Hibiscus tiliaceus tiliaceus', 'Hibiscus tiliaceus tortuosus', 'Hibiscus tiliaceus typicus', 'Hibiscus tiliifolius', 'Hibiscus tortuosus', 'Parita tiliaceus', 'Pariti boninense', 'Pariti grande', 'Pariti tiliaceum', 'Pariti tiliaceum abortivum', 'Pariti tiliaceum albiflorum', 'Pariti tiliaceum foliis-tripartitis', 'Pariti tiliaceum immaculatum', 'Pariti tiliaceum trilobatum', 'Pariti tricuspe', 'Paritium abutiloides', 'Paritium circinnatum', 'Paritium guineense', 'Paritium purpurascens', 'Paritium tiliaceum', 'Paritium tiliifolium', 'Talipariti tiliaceaum', 'Talipariti tortuosum', 'Thespesia tiliaceum'];['ncbi:183267', 'worms:418728', 'gbif:7115794', 'irmng:10458642', 'irmng:10197580'];Talipariti tiliaceum;both;120948;Archaeplastida;Streptophyta;Magnoliopsida;Malvales;Malvaceae;Talipariti;;Talipariti tiliaceum;5268475;916750;99252;229284;279960;189775;;[];species;Talipariti tiliaceum;http://www.wikidata.org/entity/Q715899;Q715899
;XX 0 FRIBG 20040728;;;;;;Cactaceae;;;;Hylocereus undatus (Haw.) Britton et Rose;Serre 5;Hylocereus undatus;90;hylocereus undatus;False;False;ICN;1;hylocereus undatus;[];False;False;Hylocereus undatus;334881;species;ott3.3draft1;['Cereus undatus', 'Hyalocereus undatus', 'Selenicereus undatus'];['ncbi:176265', 'gbif:3084394', 'irmng:11347246', 'irmng:11056630'];Hylocereus undatus;both;334881;Archaeplastida;Streptophyta;Magnoliopsida;Caryophyllales;Cactaceae;Hylocereus;;Hylocereus undatus;5268475;916750;99252;216628;584111;964554;;[];species;Hylocereus undatus;http://www.wikidata.org/entity/Q131730;Q131730
;XX 0 FRIBG 20150128;;;;;;Fabaceae;;;;Indigofera tinctoria L.;Serre 5;Indigofera tinctoria;95;indigofera tinctoria;False;False;ICN;1;indigofera tinctoria;[];False;False;Indigofera tinctoria;342886;species;ott3.3draft1;['Indigofera bergii', 'Indigofera cinerascens', 'Indigofera houer', 'Indigofera indica', 'Indigofera oligophylla', 'Indigofera orthocarpa', 'Indigofera sumatrana', 'Indigofera tinctoria brachycarpa', 'Indigofera tinctoria macrocarpa', 'Indigofera tulearensis'];['ncbi:198914', 'gbif:2972043', 'irmng:11341819'];Indigofera tinctoria;both;342886;Archaeplastida;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Indigofera;;Indigofera tinctoria;5268475;916750;99252;956360;560323;759995;;[];species;Indigofera tinctoria;http://www.wikidata.org/entity/Q165213;Q165213
;XX 0 FRIBG 20200362;;;;;;Fabaceae;;;;Inga edulis Mart.;Serre 5;Inga edulis;95;inga edulis;False;False;ICN;1;inga edulis;['sibling_higher'];False;False;Inga edulis;600238;species;ott3.3draft1;['Feuilleea edulis', 'Inga benthamiana', 'Inga inga', 'Inga scabriuscula', 'Inga vera', 'Inga ynga', 'Mimosa inga', 'Mimosa ynga'];['ncbi:199163', 'gbif:5357677', 'irmng:10170811'];Inga edulis;both;600238;Archaeplastida;Streptophyta;Magnoliopsida;Fabales;Fabaceae;Inga;;Inga edulis;5268475;916750;99252;956360;560323;169762;;['sibling_higher'];species;;;
;XX 0 FRIBG 20190402;;;Couches;;;Convolvulaceae;;;;Ipomoea batatas (L.) Lam.;Serre 5;Ipomoea batatas;90;ipomoea batatas;False;False;ICN;1;ipomoea batatas;[];False;False;Ipomoea batatas;1071040;species;ott3.3draft1;['Batatas batatas', 'Batatas edulis', 'Batatas glaucifolius', 'Batatas wallii', 'Batatas xanthorhiza', 'Convolvulus acuminatus', 'Convolvulus apiculata', 'Convolvulus attenuata', 'Convolvulus batatas', 'Convolvulus candicans', 'Convolvulus chrysorhizus', 'Convolvulus chrysorrhizus', 'Convolvulus cordatifolius', 'Convolvulus cordifolius', 'Convolvulus edulis', 'Convolvulus esculentus', 'Convolvulus essequebensis', 'Convolvulus glaucifolius', 'Convolvulus macrorhizus', 'Convolvulus panduratus', 'Convolvulus platanifolius', 'Convolvulus roseus', 'Convolvulus scaber', 'Convolvulus septangularis', 'Convolvulus tiliaceus', 'Convolvulus tuberifer', 'Convolvulus tuberosus', 'Convolvulus varius', 'Ipomoea alba', 'Ipomoea batatas dissoluta', 'Ipomoea batatas edulis', 'Ipomoea batatas erythrorrhiza', 'Ipomoea batatas fastigata', 'Ipomoea batatas leucorrhiza', 'Ipomoea batatas lobata', 'Ipomoea batatas porphyrorhiza', 'Ipomoea batatas trifida', 'Ipomoea batatas var. edulis', 'Ipomoea candicans', 'Ipomoea catesbaei', 'Ipomoea davidsoniae', 'Ipomoea edulis', 'Ipomoea fastigiata', 'Ipomoea fastigiata ciliata', 'Ipomoea glaucifolia', 'Ipomoea mucronata', 'Ipomoea pandurata', 'Ipomoea pandurata cuspidata', 'Ipomoea pandurata leviuscula', 'Ipomoea pandurata rubescens', 'Ipomoea purpusii', 'Ipomoea scabra', 'Ipomoea tiliacea', 'Ipomoea tiliacea auct. non (Willd.) Choisy', 'Ipomoea triloba', 'Ipomoea vulsa', 'Ipomoea wallii', 'Pharbitis forskoeli', 'Solanum batatas', 'Tirtalia pandurata'];['ncbi:4120', 'gbif:2928551', 'irmng:11163862'];Ipomoea batatas;both;1071040;Archaeplastida;Streptophyta;Magnoliopsida;Solanales;Convolvulaceae;Ipomoea;;Ipomoea batatas;5268475;916750;99252;1050255;494850;494853;;[];species;Ipomoea batatas;http://www.wikidata.org/entity/Q37937;Q37937
;XX 0 FRIBG 19920730;;;;;;Oleaceae;;;;Jasminum sambac Sol.;Serre 5;Jasminum sambac;95;jasminum sambac;False;False;ICN;1;jasminum sambac;['sibling_higher'];False;False;Jasminum sambac;295476;species;ott3.3draft1;['Jasminum bicorollatum', 'Jasminum blancoi', 'Jasminum heyneanum', 'Jasminum odoratum', 'Jasminum pubescens', 'Jasminum quadrifolium', 'Jasminum quinqueflorum', 'Jasminum quinqueflorum pubescens', 'Jasminum sambac duplex', 'Jasminum sambac gimea', 'Jasminum sambac goaense', 'Jasminum sambac heyneanum', 'Jasminum sambac kerianum', 'Jasminum sambac nemocalyx', 'Jasminum sambac normale', 'Jasminum sambac plenum', 'Jasminum sambac syringifolium', 'Jasminum sambac trifoliatum', 'Jasminum sambac undulatum', 'Jasminum sambac verum', 'Jasminum sanjurium', 'Jasminum sanjurium publ', 'Jasminum trifoliatum', 'Jasminum undulatum', 'Jasminum zambac', 'Mogorium gimea', 'Mogorium goaense', 'Mogorium sambac', 'Mogorium undulatum', 'Nyctanthes goa', 'Nyctanthes sambac', 'Nyctanthes undulata'];['ncbi:660624', 'gbif:7587215', 'irmng:11103202'];Jasminum sambac;both;295476;Archaeplastida;Streptophyta;Magnoliopsida;Lamiales;Oleaceae;Jasminum;;Jasminum sambac;5268475;916750;99252;23736;23723;23725;;['sibling_higher'];species;Jasminum sambac;http://www.wikidata.org/entity/Q1356614;Q1356614
;XX 0 BR 19480608;;;;;;Euphorbiaceae;;;05 g;Jatropha curcas L.;Serre 5;Jatropha curcas;95;jatropha curcas;False;False;ICN;1;jatropha curcas;[];False;False;Jatropha curcas;916001;species;ott3.3draft1;['Curcas adansonii', 'Curcas curcas', 'Curcas curcas publ', 'Curcas drastica', 'Curcas indica', 'Curcas lobata', 'Curcas purgans', 'Jatropha acerifolia', 'Jatropha afrocurcas', 'Jatropha condor', 'Jatropha edulis', 'Jatropha yucatanensis', 'Manihot curcas', 'Ricinoides americana oppr', 'Ricinus americanus', 'Ricinus jarak'];['ncbi:180498', 'gbif:3072953', 'irmng:10238208'];Jatropha curcas;both;916001;Archaeplastida;Streptophyta;Magnoliopsida;Malpighiales;Euphorbiaceae;Jatropha;;Jatropha curcas;5268475;916750;99252;429482;914245;864024;;[];species;Jatropha curcas;http://www.wikidata.org/entity/Q74644;Q74644
;XX 0 FRIBG 20040313;;;;;;Zingiberaceae;;;;Kaempferia galanga L.;Serre 5;Kaempferia galanga;95;kaempferia galanga;False;False;ICN;1;kaempferia galanga;[];False;False;Kaempferia galanga;576124;species;ott3.3draft1;['Alpinia sessilis', 'Kaempferia galanga latifolia', 'Kaempferia humilis', 'Kaempferia latifolia', 'Kaempferia marginata', 'Kaempferia plantaginifolia', 'Kaempferia procumbens', 'Kaempferia rotunda'];['ncbi:97750', 'gbif:5301451', 'irmng:10212690'];Kaempferia galanga;both;576124;Archaeplastida;Streptophyta;Magnoliopsida;Zingiberales;Zingiberaceae;Kaempferia;;Kaempferia galanga;5268475;916750;99252;627015;207467;3462;;[];species;Kaempferia galanga;http://www.wikidata.org/entity/Q1113398;Q1113398
