;ipen;determination;multiplication;hivernage;protectionHiv1;protectionHiv2;taxonFamille1;taxonControle;taxonBiblio;periodeDeSemis;idTaxon;secteur;matched_name;fuzzy_match_score;Inventaire FRIBG;is_approximate_match;is_synonym;nomenclature_code;score;search_string;taxon.flags;taxon.is_suppressed;taxon.is_suppressed_from_synth;taxon.name;taxon.ott_id;taxon.rank;taxon.source;taxon.synonyms;taxon.tax_sources;taxon.unique_name;_merge;ott_id;organism_otol_kingdom;organism_otol_phylum;organism_otol_class;organism_otol_order;organism_otol_family;organism_otol_genus;organism_otol_species;organism_otol_unique_name;organism_otol_kingdom_ott_id_ott_id;organism_otol_phylum_ott_id;organism_otol_class_ott_id;organism_otol_order_ott_id;organism_otol_family_ott_id;organism_otol_genus_ott_id;organism_otol_species_ott_id;flags;rank;names_pipe_separated;wikidataId;wd_taxa_qid
;IN 0 FRIBG 20090434;;;;;;Meliaceae;;;;Khaya senegalensis (Desr.) A. Juss;Serre 5;Khaya senegalensis;90;khaya senegalensis;False;False;ICN;1;khaya senegalensis;[];False;False;Khaya senegalensis;923412;species;ott3.3draft1;['Swietenia senegalensis'];['ncbi:587579', 'gbif:3190508', 'irmng:10857090'];Khaya senegalensis;both;923412;Archaeplastida;Streptophyta;Magnoliopsida;Sapindales;Meliaceae;Khaya;;Khaya senegalensis;5268475;916750;99252;229288;655984;548510;;[];species;Khaya senegalensis;http://www.wikidata.org/entity/Q927609;Q927609
;XX 0 FRIBG 20100517;;;;;;Bignoniaceae;;;;Kigelia africana (Lam.) Benth.;Serre 5;Kigelia africana;90;kigelia africana;False;False;ICN;1;kigelia africana;[];False;False;Kigelia africana;482933;species;ott3.3draft1;['Kigelia pinnata'];['ncbi:70070', 'gbif:3172561', 'irmng:10202483'];Kigelia africana;both;482933;Archaeplastida;Streptophyta;Magnoliopsida;Lamiales;Bignoniaceae;Kigelia;;Kigelia africana;5268475;916750;99252;23736;900321;805461;;[];species;Kigelia africana;http://www.wikidata.org/entity/Q522883;Q522883
;GA 0 FRIBG 20100518;;;;;;Fabaceae;;;05 g;Leucaena sp.;Serre 5;Leucaena;95;leucaena.;True;False;ICN;0.875;leucaena.;[];False;False;Leucaena;879022;genus;ott3.3draft1;['Caudoleucaena', 'Ryncholeucaena'];['ncbi:3865', 'gbif:2970337', 'irmng:1314012'];Leucaena;both;879022;Archaeplastida;Streptophyta;Magnoliopsida;Fabales;Fabaceae;;;Leucaena;5268475;916750;99252;956360;560323;;;[];genus;Leucaena;http://www.wikidata.org/entity/Q311423;Q311423
;XX 0 FRIBG 20070408;;;;;;Verbenaceae;;;;Lippia dulcis Trevis.;Serre 5;Lippia dulcis;90;lippia dulcis;False;True;ICN;1;lippia dulcis;[];False;False;Phyla dulcis;852644;species;ott3.3draft1;['Lippia asperifolia', 'Lippia dulcis', 'Lippia dulcis mexicana', 'Phyla dulcus', 'Phyla scaberrima', 'Zappania scaberrima'];['ncbi:542674', 'gbif:2925416', 'irmng:10694424'];Phyla dulcis;both;852644;Archaeplastida;Streptophyta;Magnoliopsida;Lamiales;Verbenaceae;Phyla;;Phyla dulcis;5268475;916750;99252;23736;1081077;387089;;[];species;Phyla dulcis;http://www.wikidata.org/entity/Q794206;Q794206
;XX 0 B 0207774;;Semis;;;;Malvaceae;;;13 g;Malachra capitata (L.) L.;Serre 5;Malachra capitata;95;malachra capitata;False;False;ICN;1;malachra capitata;[];False;False;Malachra capitata;3942629;species;ott3.3draft1;['Malachra heptaphylla', 'Malachra mexicana', 'Malachra palmata', 'Malachra velutina', 'Napaea latifolia', 'Sida capitata', 'Urena capitata', 'Urena moenchii'];['ncbi:2059503', 'gbif:3152763', 'irmng:11426528'];Malachra capitata;both;3942629;Archaeplastida;Streptophyta;Magnoliopsida;Malvales;Malvaceae;Malachra;;Malachra capitata;5268475;916750;99252;229284;279960;278700;;[];species;Malachra capitata;http://www.wikidata.org/entity/Q11085403;Q11085403
;XX 0 FRIBG 2014055;;;;;;Anacardiaceae;;;;Mangifera indica L.;Serre 5;Mangifera indica;95;mangifera indica;False;False;ICN;1;mangifera indica;[];False;False;Mangifera indica;807634;species;ott3.3draft1;['Mangifera amba', 'Mangifera anisodora', 'Mangifera austro-yunnanensis', 'Mangifera domestica', 'Mangifera gladiata', 'Mangifera integrifolia', 'Mangifera kukula', 'Mangifera linnaei', 'Mangifera maritima', 'Mangifera mekongensis', 'Mangifera montana', 'Mangifera racemosa', 'Mangifera rostrata', 'Mangifera rubra', 'Mangifera sativa', 'Mangifera siamensis', 'Mangifera viridis'];['ncbi:29780', 'gbif:3190638', 'irmng:10201022'];Mangifera indica;both;807634;Archaeplastida;Streptophyta;Magnoliopsida;Sapindales;Anacardiaceae;Mangifera;;Mangifera indica;5268475;916750;99252;229288;423320;203764;;[];species;Mangifera indica;http://www.wikidata.org/entity/Q3919027;Q3919027
;XX 0 FRIBG 19900503;;;;;;Euphorbiaceae;;;05 g;Manihot esculenta Crantz;Serre 5;Manihot esculenta;95;manihot esculenta;False;False;ICN;1;manihot esculenta;[];False;False;Manihot esculenta;339369;species;ott3.3draft1;['Janipha aipi', 'Janipha manihot', 'Jatropha aipi', 'Jatropha diffusa', 'Jatropha digitiformis', 'Jatropha dulcis', 'Jatropha flabellifolia', 'Jatropha glauca', 'Jatropha janipha', 'Jatropha lobata richardiana', 'Jatropha loureirii', 'Jatropha loureiroi', 'Jatropha manihot', 'Jatropha mitis', 'Jatropha paniculata', 'Jatropha silvestris', 'Jatropha stipulata', 'Mandioca aipi', 'Mandioca dulcis', 'Mandioca utilissima', 'Manihot aipi', 'Manihot aipi lanceolata', 'Manihot aipi latifolia', 'Manihot aipi lutescens', 'Manihot aypi', 'Manihot cannabina', 'Manihot cassava', 'Manihot diffusa', 'Manihot digitiformis', 'Manihot dulcis', 'Manihot dulcis aipi', 'Manihot dulcis diffusa', 'Manihot dulcis flabellifolia', 'Manihot edule', 'Manihot esculenta alboerecta', 'Manihot esculenta argentea', 'Manihot esculenta coalescens', 'Manihot esculenta communis', 'Manihot esculenta debilis', 'Manihot esculenta diffusa', 'Manihot esculenta digitifolia', 'Manihot esculenta domingensis', 'Manihot esculenta fertilis', 'Manihot esculenta flabellifolia', 'Manihot esculenta flavicaulis', 'Manihot esculenta fuscescens', 'Manihot esculenta grandifolia', 'Manihot esculenta hispaniolensis', 'Manihot esculenta jamaicensis', 'Manihot esculenta luteola', 'Manihot esculenta mutabilis', 'Manihot esculenta nodosa', 'Manihot esculenta pohlii', 'Manihot esculenta ramosissima', 'Manihot esculenta rufescens', 'Manihot esculenta sprucei', 'Manihot esculenta zimmermannii', 'Manihot flabellifolia', 'Manihot flexuosa', 'Manihot guianensis', 'Manihot guyanensis', 'Manihot loureirii', 'Manihot loureiroi', 'Manihot manihot', 'Manihot manihot publ', 'Manihot melanobasis', 'Manihot palmata aipi', 'Manihot palmata diffusa', 'Manihot palmata digitiformis', 'Manihot palmata flabellifolia', 'Manihot sprucei', 'Manihot surinamensis', 'Manihot utilissima', 'Manihot utilissima castellana', 'Manihot utilissima sutinga'];['ncbi:3983', 'gbif:3060998', 'irmng:11022519'];Manihot esculenta;both;339369;Archaeplastida;Streptophyta;Magnoliopsida;Malpighiales;Euphorbiaceae;Manihot;;Manihot esculenta;5268475;916750;99252;429482;914245;339367;;[];species;Manihot esculenta;http://www.wikidata.org/entity/Q83124;Q83124
;XX 0 FRIBG 10000301;;;;;;Marantaceae;;;;Maranta arundinacea L.;Serre 5;Maranta arundinacea;95;maranta arundinacea;False;False;ICN;1;maranta arundinacea;[];False;False;Maranta arundinacea;853561;species;ott3.3draft1;['Maranta arundinacea indica', 'Maranta arundinacea sylvestris', 'Maranta arundinacea variegata', 'Maranta indica', 'Maranta minor', 'Maranta ramosissima', 'Maranta sylvatica', 'Phrynium variegatum'];['ncbi:210060', 'gbif:2761352', 'irmng:10762712'];Maranta arundinacea;both;853561;Archaeplastida;Streptophyta;Magnoliopsida;Zingiberales;Marantaceae;Maranta;;Maranta arundinacea;5268475;916750;99252;627015;627012;350122;;[];species;;;
;XX 0 STUTZ 000253;;;;;;Rubiaceae;;;;Morinda citrifolia L.;Serre 5;Morina longifolia;70;morina longifolia;False;False;ICN;1;morina longifolia;[];False;False;Morina longifolia;470594;species;ott3.3draft1;['Morina elegans'];['ncbi:180562', 'gbif:8376167'];Morina longifolia;both;470594;Archaeplastida;Streptophyta;Magnoliopsida;Dipsacales;Caprifoliaceae;Morina;;Morina longifolia;5268475;916750;99252;659705;69534;459103;;[];species;;;
;XX 0 FRIBG 20200361;;;;;;Moringaceae;;;;Moringa oleifera Lam.;Serre 5;Moringa oleifera;95;moringa oleifera;False;False;ICN;1;moringa oleifera;[];False;False;Moringa oleifera;883783;species;ott3.3draft1;['Anoma moringa', 'Guilandia moringa', 'Guilandina moringa', 'Hyperanthera arborea', 'Hyperanthera decandra', 'Hyperanthera moringa', 'Hyperanthera pterygosperma', 'Moringa domestica', 'Moringa edulis', 'Moringa erecta', 'Moringa moringa', 'Moringa nux-eben', 'Moringa octogona', 'Moringa parvifolia', 'Moringa polygona', 'Moringa pterygosperma', 'Moringa robusta', 'Moringa sylvestris', 'Moringa zeylanica'];['ncbi:3735', 'gbif:3054181', 'irmng:10762150'];Moringa oleifera;both;883783;Archaeplastida;Streptophyta;Magnoliopsida;Brassicales;Moringaceae;Moringa;;Moringa oleifera;5268475;916750;99252;8844;883791;883789;;[];species;Moringa oleifera;http://www.wikidata.org/entity/Q234193;Q234193
;XX 0 FRIBG 20040189;;;;;;Rutaceae;;;;Murraya koenigii (L.) Spreng.;Serre 5;Murraya koenigii;90;murraya koenigii;False;True;ICN;1;murraya koenigii;[];False;False;Bergera koenigii;321836;species;ott3.3draft1;['Murraya koenigii'];['ncbi:159030', 'irmng:11305102'];Bergera koenigii;both;321836;Archaeplastida;Streptophyta;Magnoliopsida;Sapindales;Rutaceae;Bergera;;Bergera koenigii;5268475;916750;99252;229288;43847;7058282;;[];species;Bergera koenigii;http://www.wikidata.org/entity/Q39837286;Q39837286
;XX 0 BAYRT A901;;;;;;Rutaceae;;;05 g;Murraya paniculata (L.) Jack;Serre 5;Festuca paniculata;86;festuca paniculata;False;False;ICN;1;festuca paniculata;['sibling_higher'];False;False;Festuca paniculata;459586;species;ott3.3draft1;['? longiglumis', 'Anthoxanthum paniculatum', 'Drymonaetes arvernensis', 'Drymonaetes cebennensis', 'Drymonaetes cenisia', 'Drymonaetes jugicola', 'Drymonaetes notata', 'Drymonaetes redux', 'Drymonaetes similis', 'Drymonaetes stans', 'Drymonaetes vesula', 'Festuca anthoxanthia publ', 'Festuca aurea', 'Festuca bulbosa', 'Festuca caerulescens', 'Festuca caerulescens publ', 'Festuca compressa', 'Festuca consobrina', 'Festuca durandoi capillifolia', 'Festuca durandoi fontqueri', 'Festuca ferruginea', 'Festuca fibrosa', 'Festuca fleischeri publ', 'Festuca fusca', 'Festuca gigantea', 'Festuca montis-celtici', 'Festuca paniculata capillifolia', 'Festuca paniculata consobrina', 'Festuca paniculata fontqueri', 'Festuca paniculata longiglumis', 'Festuca paniculata macrostachys', 'Festuca paniculata multispiculata', 'Festuca paniculata paniculata', 'Festuca paniculata paui', 'Festuca paniculata spadicea', 'Festuca paradoxa', 'Festuca spadicea', 'Festuca spadicea aurea', 'Festuca spadicea capillifolia', 'Festuca spadicea cebennensis', 'Festuca spadicea consobrina', 'Festuca spadicea fallax', 'Festuca spadicea ferruginea', 'Festuca spadicea longiglumis', 'Patzkea durandoi capillifolia', 'Patzkea durandoi fontqueri', 'Patzkea paniculata', 'Patzkea paniculata longiglumis', 'Patzkea paniculata macrostachys', 'Patzkea paniculata multispiculata', 'Patzkea paniculata spadicea', 'Patzkea spadicea', 'Poa gerardii', 'Poa montana', 'Poa spadicea', 'Poa triflora', 'Schedonorus aureus', 'Schedonorus compressus', 'Schedonorus ferrugineus', 'Schedonorus spadiceus'];['ncbi:145848', 'gbif:4117958'];Festuca paniculata;both;459586;Archaeplastida;Streptophyta;Magnoliopsida;Poales;Poaceae;Festuca;;Festuca paniculata;5268475;916750;99252;921871;508090;105596;;['sibling_higher'];species;;;
;XX 0 FRIBG 20050459;;;;;;Musaceae;;;;Musa acuminata Colla;Serre 5;Musa acuminata;95;musa acuminata;False;False;ICN;1;musa acuminata;['sibling_higher'];False;False;Musa acuminata;207474;species;ott3.3draft1;"['Musa AA Group', 'Musa acuminata AA Group', 'Musa cavendishii', 'Musa chinensis', 'Musa nana', 'Musa sapientum rio', 'Musa sinensis', ""Musa sp. 'Pisang lilin'"", 'Musa zebrina']";['ncbi:4641', 'gbif:2762680', 'irmng:10208094'];Musa acuminata;both;207474;Archaeplastida;Streptophyta;Magnoliopsida;Zingiberales;Musaceae;Musa;;Musa acuminata;5268475;916750;99252;627015;679528;207473;;['sibling_higher'];species;Musa acuminata;http://www.wikidata.org/entity/Q132970;Q132970
;XX 0 FRIBG 10001655;;;;;;Musaceae;;;;Musa basjoo Iinuma;Serre 5;Musa basjoo;90;musa basjoo;False;False;ICN;1;musa basjoo;['sibling_higher'];False;False;Musa basjoo;842092;species;ott3.3draft1;[];['ncbi:133197', 'gbif:2762737'];Musa basjoo;both;842092;Archaeplastida;Streptophyta;Magnoliopsida;Zingiberales;Musaceae;Musa;;Musa basjoo;5268475;916750;99252;627015;679528;207473;;['sibling_higher'];species;;;
;XX 0 FRIBG 10000302;;;;;;Musaceae;;;;Musa x paradisiaca L.;Serre 5;Musa basjoo;86;musa basjoo;False;False;ICN;1;musa basjoo;['sibling_higher'];False;False;Musa basjoo;842092;species;ott3.3draft1;[];['ncbi:133197', 'gbif:2762737'];Musa basjoo;both;842092;Archaeplastida;Streptophyta;Magnoliopsida;Zingiberales;Musaceae;Musa;;Musa basjoo;5268475;916750;99252;627015;679528;207473;;['sibling_higher'];species;;;
;TH 0 FRIBG 19870508;;;;;;Sapindaceae;;;;Nephelium longana Cambess.;Serre 5;Ananas comosus;60;ananas comosus;False;False;ICN;1;ananas comosus;[];False;False;Ananas comosus;627039;species;ott3.3draft1;['Ananas ananas', 'Ananas argentata', 'Ananas aurata', 'Ananas bracteatus paraguayensis', 'Ananas coccineus', 'Ananas comosus var. comosus', 'Ananas glaber', 'Ananas lucidus', 'Ananas maxima', 'Ananas mordilona', 'Ananas ovatus', 'Ananas penangensis', 'Ananas proliferus', 'Ananas pyramidalis', 'Ananas sativus lucidus', 'Ananas serotinus', 'Ananas viridis', 'Ananassa mordilona', 'Bromelia ananas', 'Bromelia ananas inermis', 'Bromelia communis', 'Bromelia comosa', 'Bromelia edulis', 'Bromelia glabra', 'Bromelia inermis', 'Bromelia rubra', 'Bromelia subspinosa', 'Bromelia viridis'];['ncbi:4615', 'gbif:5288776', 'gbif:5288819', 'irmng:10207532'];Ananas comosus;both;627039;Archaeplastida;Streptophyta;Magnoliopsida;Poales;Bromeliaceae;Ananas;;Ananas comosus;5268475;916750;99252;921871;627035;627043;;[];species;Ananas comosus;http://www.wikidata.org/entity/Q1493;Q1493
;XX 0 BONN 19322;;;;;;Lamiaceae;;;05 g;Orthosiphon aristatus (Blume) Miq.;Serre 5;Orthosiphon aristatus;90;orthosiphon aristatus;False;False;ICN;1;orthosiphon aristatus;[];False;False;Orthosiphon aristatus;1070846;species;ott3.3draft1;['Ocimum aristatum'];['ncbi:204151', 'gbif:7308026'];Orthosiphon aristatus;both;1070846;Archaeplastida;Streptophyta;Magnoliopsida;Lamiales;Lamiaceae;Orthosiphon;;Orthosiphon aristatus;5268475;916750;99252;23736;544714;934659;;[];species;Orthosiphon aristatus;http://www.wikidata.org/entity/Q2673246;Q2673246
;XX 0 FRIBG 20040685;;Semis;;;;Poaceae;;;05 g;Oryza sativa L. 'Axios';Serre 5;Oryza sativa;90;oryza sativa;False;False;ICN;1;oryza sativa;[];False;False;Oryza sativa;709894;species;ott3.3draft1;['Oryza aristata', 'Oryza communissima', 'Oryza formosana', 'Oryza glutinosa', 'Oryza montana', 'Oryza mutica', 'Oryza nepalensis', 'Oryza parviflora', 'Oryza perennis', 'Oryza plena', 'Oryza praecox', 'Oryza repens', 'Oryza sativa acutiligula', 'Oryza sativa adversoseluana', 'Oryza sativa affinis', 'Oryza sativa alaotrana', 'Oryza sativa alba', 'Oryza sativa allachabadica', 'Oryza sativa alterogoensis', 'Oryza sativa amaura', 'Oryza sativa anandica', 'Oryza sativa angusta', 'Oryza sativa anjanica', 'Oryza sativa anthropophaga', 'Oryza sativa aquatica', 'Oryza sativa aristata', 'Oryza sativa aristida', 'Oryza sativa aromatica', 'Oryza sativa assamica', 'Oryza sativa astaranica', 'Oryza sativa astarinica', 'Oryza sativa atra', 'Oryza sativa atricolorata', 'Oryza sativa atrobrunnea', 'Oryza sativa atrofusca', 'Oryza sativa atrogrisea', 'Oryza sativa atropurpurea', 'Oryza sativa aurica', 'Oryza sativa auriculata', 'Oryza sativa azerbaidjanica', 'Oryza sativa badia', 'Oryza sativa balatensis', 'Oryza sativa bandica', 'Oryza sativa bansica', 'Oryza sativa bansmatica', 'Oryza sativa bastica', 'Oryza sativa baumannii', 'Oryza sativa bawako-mochii', 'Oryza sativa bicolorata', 'Oryza sativa binamban', 'Oryza sativa birainica', 'Oryza sativa breviaristata', 'Oryza sativa brevindica', 'Oryza sativa brevis', 'Oryza sativa brjezitsky', 'Oryza sativa brunnea', 'Oryza sativa brunneopunctata', 'Oryza sativa calvescens', 'Oryza sativa caroliniana', 'Oryza sativa caspica', 'Oryza sativa castanea', 'Oryza sativa castroi', 'Oryza sativa catalonica', 'Oryza sativa caucasica', 'Oryza sativa ceylonica', 'Oryza sativa chambhanica', 'Oryza sativa chlamydantha', 'Oryza sativa chlorocarpa', 'Oryza sativa chrysocarpa', 'Oryza sativa cinnamomea', 'Oryza sativa communis', 'Oryza sativa costivorensis', 'Oryza sativa culinaris', 'Oryza sativa cyclina', 'Oryza sativa daloaensis', 'Oryza sativa denudata', 'Oryza sativa desvauxii', 'Oryza sativa dextrinosa', 'Oryza sativa dichroa', 'Oryza sativa dicolorata', 'Oryza sativa dubia', 'Oryza sativa dura', 'Oryza sativa eedeniana', 'Oryza sativa elegans', 'Oryza sativa elongata', 'Oryza sativa erythroceros', 'Oryza sativa falca-aurea', 'Oryza sativa fayoumensis', 'Oryza sativa ferganica', 'Oryza sativa ferruginea', 'Oryza sativa flagella', 'Oryza sativa flammea', 'Oryza sativa flammeorufa', 'Oryza sativa flavescens', 'Oryza sativa flaviseta', 'Oryza sativa flavoacies', 'Oryza sativa fluitans', 'Oryza sativa folia-villosa', 'Oryza sativa formosana', 'Oryza sativa formosica', 'Oryza sativa fuliginosa', 'Oryza sativa fuscescens', 'Oryza sativa garhwalica', 'Oryza sativa gilanica', 'Oryza sativa gilvaaristata', 'Oryza sativa gilvus', 'Oryza sativa glutinosa', 'Oryza sativa graeca', 'Oryza sativa guianensis', 'Oryza sativa haematelytra', 'Oryza sativa hasskarlii', 'Oryza sativa heuzeana', 'Oryza sativa homochroma', 'Oryza sativa indica', 'Oryza sativa indovialonica', 'Oryza sativa infera', 'Oryza sativa isabellica', 'Oryza sativa isochroa', 'Oryza sativa italica', 'Oryza sativa janthoceros', 'Oryza sativa japonica', 'Oryza sativa jarhanica', 'Oryza sativa javanica', 'Oryza sativa jorhatica', 'Oryza sativa kafirniganica', 'Oryza sativa kasakstanica', 'Oryza sativa katayevii', 'Oryza sativa kato-tolica', 'Oryza sativa keppii', 'Oryza sativa kissiensis', 'Oryza sativa kleiniana', 'Oryza sativa kolakovski', 'Oryza sativa kpelleana', 'Oryza sativa lamuyo', 'Oryza sativa lateritica', 'Oryza sativa lencoranica', 'Oryza sativa leucoceras', 'Oryza sativa limnicola', 'Oryza sativa longiglumis', 'Oryza sativa longior', 'Oryza sativa luzonica', 'Oryza sativa maldehica', 'Oryza sativa manensis', 'Oryza sativa manilensis', 'Oryza sativa marginata', 'Oryza sativa markovitchii', 'Oryza sativa masenderano', 'Oryza sativa mathiarica', 'Oryza sativa melanacra', 'Oryza sativa melanocarpa', 'Oryza sativa melanoceras', 'Oryza sativa melanodonta', 'Oryza sativa melanoglumella', 'Oryza sativa melanothrix', 'Oryza sativa mexicana', 'Oryza sativa microcarpa', 'Oryza sativa minantica', 'Oryza sativa miqueliana', 'Oryza sativa mitrai', 'Oryza sativa molesta', 'Oryza sativa montana', 'Oryza sativa movlanica', 'Oryza sativa mulayana', 'Oryza sativa mutica', 'Oryza sativa nahanica', 'Oryza sativa narmica', 'Oryza sativa nepalica', 'Oryza sativa nero-vialonica', 'Oryza sativa neroapiculata', 'Oryza sativa nguerzeana', 'Oryza sativa nigra', 'Oryza sativa nigrescens', 'Oryza sativa nigrispina', 'Oryza sativa nigropurpurea', 'Oryza sativa nigrouncinata', 'Oryza sativa nigroviolacea', 'Oryza sativa niponica', 'Oryza sativa notata', 'Oryza sativa nzoana', 'Oryza sativa obvasconcellosii', 'Oryza sativa ochracea', 'Oryza sativa ochrofusca', 'Oryza sativa oxyota', 'Oryza sativa pallida', 'Oryza sativa paraallchabadica', 'Oryza sativa paracastroi', 'Oryza sativa paracinnamomea', 'Oryza sativa paradaloaensis', 'Oryza sativa paraerythrocarpa', 'Oryza sativa paragoensis', 'Oryza sativa paraguianensis', 'Oryza sativa parajavanica', 'Oryza sativa paramutica', 'Oryza sativa paraovoidea', 'Oryza sativa paraphilippensis', 'Oryza sativa parasepica', 'Oryza sativa parazeravschanica', 'Oryza sativa parjattica', 'Oryza sativa parnellii', 'Oryza sativa parva', 'Oryza sativa peradenica', 'Oryza sativa persica', 'Oryza sativa phaneroleuca', 'Oryza sativa philippensis', 'Oryza sativa picta', 'Oryza sativa pilosa', 'Oryza sativa plena', 'Oryza sativa plumbea', 'Oryza sativa praecox', 'Oryza sativa pseudocinnamomea', 'Oryza sativa pseudodaloaensis', 'Oryza sativa pseudogoensis', 'Oryza sativa pseudoguineensis', 'Oryza sativa pseudojarhanica', 'Oryza sativa pseudolimnicola', 'Oryza sativa pseudomulayana', 'Oryza sativa pseudoovoidea', 'Oryza sativa pseudosepica', 'Oryza sativa pubescens', 'Oryza sativa pudica', 'Oryza sativa pygmaea', 'Oryza sativa pyrocarpa', 'Oryza sativa quinanda', 'Oryza sativa ramica', 'Oryza sativa ratoonica', 'Oryza sativa rhodosperma', 'Oryza sativa rubescens', 'Oryza sativa rubra', 'Oryza sativa rubribarbis', 'Oryza sativa rubriglumella', 'Oryza sativa rubrostellata', 'Oryza sativa rufibarbis', 'Oryza sativa rufibrunnea', 'Oryza sativa rufiglumella', 'Oryza sativa saginata', 'Oryza sativa sarica', 'Oryza sativa sathi-nigrescens', 'Oryza sativa savannae', 'Oryza sativa saxenii', 'Oryza sativa seulica', 'Oryza sativa sickenbergeri', 'Oryza sativa sitapurica', 'Oryza sativa soneszardica', 'Oryza sativa sordida', 'Oryza sativa sorgoidea', 'Oryza sativa spontanea', 'Oryza sativa striata', 'Oryza sativa subalba', 'Oryza sativa subamaura', 'Oryza sativa subastarinica', 'Oryza sativa subazerbaidjanica', 'Oryza sativa subbrunea', 'Oryza sativa subdichroa', 'Oryza sativa suberythroceros', 'Oryza sativa subflavoacies', 'Oryza sativa subjanthoceros', 'Oryza sativa subjarhanica', 'Oryza sativa subleucoceros', 'Oryza sativa submasenderano', 'Oryza sativa submelanotrix', 'Oryza sativa submovlanica', 'Oryza sativa submutica', 'Oryza sativa subpyrocarpa', 'Oryza sativa subratoonica', 'Oryza sativa subsubulata', 'Oryza sativa subvavilovii', 'Oryza sativa subvulgaris', 'Oryza sativa subzomica', 'Oryza sativa sultanpurica', 'Oryza sativa taurina', 'Oryza sativa tawnica', 'Oryza sativa tcharinica', 'Oryza sativa terrestris', 'Oryza sativa trichoviolacea', 'Oryza sativa usitatissima', 'Oryza sativa ussurica', 'Oryza sativa utilissima', 'Oryza sativa vavilovii', 'Oryza sativa violacea', 'Oryza sativa violapunctata', 'Oryza sativa violeobrevis', 'Oryza sativa viridescens', 'Oryza sativa vulgaris', 'Oryza sativa wightiana', 'Oryza sativa xanthoxeros', 'Oryza sativa zeravschanica', 'Oryza sativa zhukovskii', 'Oryza sativa zomica', 'Oryza segetalis'];['ncbi:4530', 'gbif:2703459', 'irmng:10706953'];Oryza sativa;both;709894;Archaeplastida;Streptophyta;Magnoliopsida;Poales;Poaceae;Oryza;;Oryza sativa;5268475;916750;99252;921871;508090;135764;;[];species;Oryza sativa;http://www.wikidata.org/entity/Q161426;Q161426
;XX 0 FRIBG 20160631;;;;;;Passifloraceae;;;;Passiflora ligularis Juss.;Serre 5;Passiflora ligularis;95;passiflora ligularis;False;False;ICN;1;passiflora ligularis;[];False;False;Passiflora ligularis;500471;species;ott3.3draft1;['Passiflora lowei', 'Passiflora serratistipula', 'Passiflora tiliifolia'];['ncbi:237863', 'gbif:2874198', 'irmng:10204273'];Passiflora ligularis;both;500471;Archaeplastida;Streptophyta;Magnoliopsida;Malpighiales;Passifloraceae;Passiflora;;Passiflora ligularis;5268475;916750;99252;429482;530187;99202;;[];species;Passiflora ligularis;http://www.wikidata.org/entity/Q917921;Q917921
;XX 0 FRIBG 20090435;;;;;;Passifloraceae;;;;Passiflora quadrangularis L.;Serre 5;Passiflora quadrangularis;96;passiflora quadrangularis;False;False;ICN;1;passiflora quadrangularis;[];False;False;Passiflora quadrangularis;530194;species;ott3.3draft1;['Granadilla quadrangularis', 'Passiflora grandiflora', 'Passiflora hulletti', 'Passiflora macrocarpa', 'Passiflora quadrangularis variegata', 'Passiflora sulcata', 'Passiflora tetragona'];['ncbi:3685', 'gbif:2874183', 'irmng:10907914'];Passiflora quadrangularis;both;530194;Archaeplastida;Streptophyta;Magnoliopsida;Malpighiales;Passifloraceae;Passiflora;;Passiflora quadrangularis;5268475;916750;99252;429482;530187;99202;;[];species;Passiflora quadrangularis;http://www.wikidata.org/entity/Q159105;Q159105
;XX 0 FRIBG 19960170;;;;;;Sapindaceae;;;;Paullinia cupana Humb., Bonpl. et Kunth;Serre 5;Paullinia cupana;90;paullinia cupana;False;False;ICN;1;paullinia cupana;[];False;False;Paullinia cupana;648094;species;ott3.3draft1;[];['ncbi:392747', 'gbif:3189949', 'irmng:10941229'];Paullinia cupana;both;648094;Archaeplastida;Streptophyta;Magnoliopsida;Sapindales;Sapindaceae;Paullinia;;Paullinia cupana;5268475;916750;99252;229288;22442;730983;;[];species;Paullinia cupana;http://www.wikidata.org/entity/Q209089;Q209089
;XX 0 FRIBG 19880379;;;;;;Sapotaceae;;;;Payena leerii (Teijsm. et Binn.) Kurz;Serre 5;Payena leerii;90;payena leerii;False;False;ICN;1;payena leerii;[];False;False;Payena leerii;3900597;species;ott3.3draft1;['Azaola leerii', 'Ceratophorus leerii', 'Hapaloceras arupa', 'Hapaloceras leerii', 'Isonandra benjamina', 'Isonandra lamponga', 'Keratephorus leerii', 'Madhuca leerii', 'Payena benjamina', 'Payena croixiana', 'Payena lamponga'];['ncbi:1524318', 'gbif:2883593', 'irmng:10696334'];Payena leerii;both;3900597;Archaeplastida;Streptophyta;Magnoliopsida;Ericales;Sapotaceae;Payena;;Payena leerii;5268475;916750;99252;648892;883781;551126;;[];species;;;
