Inventaire FRIBG,is_approximate_match,is_synonym,matched_name,nomenclature_code,score,search_string,taxon.flags,taxon.is_suppressed,taxon.is_suppressed_from_synth,taxon.name,taxon.ott_id,taxon.rank,taxon.source,taxon.synonyms,taxon.tax_sources,taxon.unique_name,_merge,ott_id,organism_otol_kingdom,organism_otol_phylum,organism_otol_class,organism_otol_order,organism_otol_family,organism_otol_genus,organism_otol_species,organism_otol_unique_name,organism_otol_kingdom_ott_id_ott_id,organism_otol_phylum_ott_id,organism_otol_class_ott_id,organism_otol_order_ott_id,organism_otol_family_ott_id,organism_otol_genus_ott_id,organism_otol_species_ott_id,flags,rank
phoenix theophrasti,False,False,Phoenix theophrasti,ICN,1.0,phoenix theophrasti,[],False,False,Phoenix theophrasti,106394.0,species,ott3.3draft1,['Phoenix theophrastii'],"['ncbi:446128', 'gbif:5293186']",Phoenix theophrasti,both,106394,Archaeplastida,Streptophyta,Magnoliopsida,Arecales,Arecaceae,Phoenix,,Phoenix theophrasti,5268475,916750,99252,17706,526437,452638,,[],species
phyllitis scolopendrium,False,True,Phyllitis scolopendrium,ICN,1.0,phyllitis scolopendrium,[],False,False,Asplenium scolopendrium,905814.0,species,ott3.3draft1,"['Phyllitis scolopendrium', ""Phyllitis scolopendrium 'Angustifolia'"", 'Phyllitis scolopendrium scolopendrium', 'Phyllitis vulgare', 'Phyllitis vulgaris']","['ncbi:41964', 'worms:426033', 'gbif:2650669', 'irmng:10886824']",Asplenium scolopendrium,both,905814,Archaeplastida,Streptophyta,Polypodiopsida,Polypodiales,Aspleniaceae,Asplenium,,Asplenium scolopendrium,5268475,916750,166292,93178,127293,38492,,[],species
phyteuma betonicifolium,False,False,Phyteuma betonicifolium,ICN,1.0,phyteuma betonicifolium,[],False,False,Phyteuma betonicifolium,580419.0,species,ott3.3draft1,"['Phyteuma cordifolium', 'Phyteuma michelii betonicifolium', 'Phyteuma spicatum betonicifolium']","['ncbi:649683', 'gbif:3166780']",Phyteuma betonicifolium,both,580419,Archaeplastida,Streptophyta,Magnoliopsida,Asterales,Campanulaceae,Phyteuma,,Phyteuma betonicifolium,5268475,916750,99252,1042120,1086303,743280,,[],species
phyteuma orbiculare,False,False,Phyteuma orbiculare,ICN,1.0,phyteuma orbiculare,[],False,False,Phyteuma orbiculare,743259.0,species,ott3.3draft1,"['Phyteuma angustatum', 'Phyteuma austriacum', 'Phyteuma austriacum vestitum', 'Phyteuma bovelinii', 'Phyteuma brevifolium', 'Phyteuma charmelii tenerum', 'Phyteuma cordifolium', 'Phyteuma corsicum', 'Phyteuma corsicum publ', 'Phyteuma delphinense', 'Phyteuma delphinense alpestre', 'Phyteuma delphinense ellipticifolium', 'Phyteuma delphinense hispidum', 'Phyteuma delphinense vestitum', 'Phyteuma ellipticifolium', 'Phyteuma ellipticifolium pauciflorum', 'Phyteuma eynense', 'Phyteuma fistulosum', 'Phyteuma hispanicum', 'Phyteuma hispidum', 'Phyteuma inaequatum', 'Phyteuma lanceolatum', 'Phyteuma longifolium', 'Phyteuma michelii', 'Phyteuma montanum', 'Phyteuma montanum exinvolucratum', 'Phyteuma montanum suffultum', 'Phyteuma obtusifolium', 'Phyteuma orbiculare alpestre', 'Phyteuma orbiculare alpinum', 'Phyteuma orbiculare anglicum', 'Phyteuma orbiculare angustifolium', 'Phyteuma orbiculare austriacum', 'Phyteuma orbiculare bracteosum', 'Phyteuma orbiculare brevifolium', 'Phyteuma orbiculare camerarii', 'Phyteuma orbiculare carpaticum', 'Phyteuma orbiculare ciliata', 'Phyteuma orbiculare cinerascens', 'Phyteuma orbiculare columnae', 'Phyteuma orbiculare comosum', 'Phyteuma orbiculare cordatum', 'Phyteuma orbiculare cordifolium', 'Phyteuma orbiculare crucis', 'Phyteuma orbiculare decipiens', 'Phyteuma orbiculare delphinense', 'Phyteuma orbiculare depauperatum', 'Phyteuma orbiculare ellipticifolium', 'Phyteuma orbiculare ellipticum', 'Phyteuma orbiculare exinvolucratum', 'Phyteuma orbiculare fistulosum', 'Phyteuma orbiculare flexuosum', 'Phyteuma orbiculare giganteum', 'Phyteuma orbiculare glabratum', 'Phyteuma orbiculare glabrescens', 'Phyteuma orbiculare glabriusculum', 'Phyteuma orbiculare glabrum', 'Phyteuma orbiculare hirsutum', 'Phyteuma orbiculare hispidulum', 'Phyteuma orbiculare hispidum', 'Phyteuma orbiculare humile', 'Phyteuma orbiculare hungaricum', 'Phyteuma orbiculare ibericum', 'Phyteuma orbiculare inaequatum', 'Phyteuma orbiculare lanceolatum', 'Phyteuma orbiculare lancifolium', 'Phyteuma orbiculare liguricum', 'Phyteuma orbiculare majus', 'Phyteuma orbiculare minus', 'Phyteuma orbiculare montanum', 'Phyteuma orbiculare nanum', 'Phyteuma orbiculare nudum', 'Phyteuma orbiculare patens', 'Phyteuma orbiculare pilosiusculum', 'Phyteuma orbiculare pilosum', 'Phyteuma orbiculare pratense', 'Phyteuma orbiculare pseudorbiculare', 'Phyteuma orbiculare pubescens', 'Phyteuma orbiculare stellulatum', 'Phyteuma orbiculare suffultum', 'Phyteuma orbiculare tenerum', 'Phyteuma orbiculare vulgare', 'Phyteuma pancicii', 'Phyteuma pseudorbiculare', 'Phyteuma pseudorbiculare angustifolium', 'Phyteuma sallei', 'Phyteuma scorzonerifolium eynense', 'Phyteuma tenerum', 'Phyteuma tenerum anglicum', 'Phyteuma tenerum anomalum', 'Phyteuma tenerum ellipticum', 'Phyteuma tenerum glabrescens', 'Phyteuma tenerum glabrum', 'Phyteuma tenerum hirsutum', 'Phyteuma tenerum ibericum', 'Phyteuma tenerum macrophyllum', 'Phyteuma tenerum microphyllum', 'Phyteuma tenerum pilosum', 'Phyteuma tenerum tenerrimum', 'Rapunculus orbicularis', 'Rapunculus sylvestris']","['ncbi:239468', 'gbif:3166655']",Phyteuma orbiculare,both,743259,Archaeplastida,Streptophyta,Magnoliopsida,Asterales,Campanulaceae,Phyteuma,,Phyteuma orbiculare,5268475,916750,99252,1042120,1086303,743280,,[],species
phyteuma scheuzeri,True,False,Phyteuma scheuchzeri,ICN,0.8999999761581421,phyteuma scheuzeri,[],False,False,Phyteuma scheuchzeri,700806.0,species,ott3.3draft1,"['Phyteuma charmelii scheuchzeri', 'Phyteuma corniculatum scheuchzeri', 'Rapunculus scheuchzeri']","['ncbi:649685', 'gbif:3166807']",Phyteuma scheuchzeri,both,700806,Archaeplastida,Streptophyta,Magnoliopsida,Asterales,Campanulaceae,Phyteuma,,Phyteuma scheuchzeri,5268475,916750,99252,1042120,1086303,743280,,[],species
phyteumaicatum,True,False,Phyteuma spicatum,ICN,0.8235294222831726,phyteumaicatum,[],False,False,Phyteuma spicatum,743261.0,species,ott3.3draft1,"['Phyteuma abelis', 'Phyteuma ambigens', 'Phyteuma angustifolium', 'Phyteuma bracteatum', 'Phyteuma coeruleum', 'Phyteuma elongatum', 'Phyteuma occidentale', 'Phyteuma pyrenaicum', 'Phyteuma pyrenaicum betonicoides', 'Phyteuma pyrenaicum bracteatum', 'Phyteuma pyrenaicum brevibracteatum', 'Phyteuma pyrenaicum cordifolium', 'Phyteuma pyrenaicum ebracteatum', 'Phyteuma pyrenaicum glabrescens', 'Phyteuma pyrenaicum glabriusculum', 'Phyteuma pyrenaicum glabrum', 'Phyteuma pyrenaicum hirsutum', 'Phyteuma pyrenaicum involucratum', 'Phyteuma pyrenaicum nudum', 'Phyteuma pyrenaicum pilosiusculum', 'Phyteuma pyrenaicum pilosum', 'Phyteuma pyrenaicum pubescens', 'Phyteuma rapunculus', 'Phyteuma spicatum alpinum', 'Phyteuma spicatum ambigens', 'Phyteuma spicatum bicrenatum', 'Phyteuma spicatum bracteatum', 'Phyteuma spicatum caeruleum', 'Phyteuma spicatum coeruleum', 'Phyteuma spicatum cordatum', 'Phyteuma spicatum crenatoserratum', 'Phyteuma spicatum crenatum', 'Phyteuma spicatum divaricatum', 'Phyteuma spicatum ebracteatum', 'Phyteuma spicatum fissum', 'Phyteuma spicatum glabrum', 'Phyteuma spicatum grossidentatum', 'Phyteuma spicatum halleri', 'Phyteuma spicatum incisum', 'Phyteuma spicatum involucratum', 'Phyteuma spicatum jurassicum', 'Phyteuma spicatum macrodon', 'Phyteuma spicatum microdon', 'Phyteuma spicatum occidentale', 'Phyteuma spicatum pilosum', 'Phyteuma spicatum pseudohalleri', 'Phyteuma spicatum pyrenaicum', 'Phyteuma spicatum roseum', 'Phyteuma spicatum vulgare', 'Rapunculus albidus', 'Rapunculus ovatus', 'Rapunculus spicatus']","['ncbi:239469', 'gbif:3166841']",Phyteuma spicatum,both,743261,Archaeplastida,Streptophyta,Magnoliopsida,Asterales,Campanulaceae,Phyteuma,,Phyteuma spicatum,5268475,916750,99252,1042120,1086303,743280,,[],species
pimpinella major,False,False,Pimpinella major,ICN,1.0,pimpinella major,[],False,False,Pimpinella major,482718.0,species,ott3.3draft1,"['Pimpinella magna', 'Pimpinella magna elata', 'Pimpinella major rubella', 'Pimpinella media']","['ncbi:1000425', 'gbif:5371874', 'irmng:10207415']",Pimpinella major,both,482718,Archaeplastida,Streptophyta,Magnoliopsida,Apiales,Apiaceae,Pimpinella,,Pimpinella major,5268475,916750,99252,372834,372831,1005127,,[],species
pimpinella nigra,False,False,Pimpinella nigra,ICN,1.0,pimpinella nigra,[],False,False,Pimpinella nigra,6054408.0,species,ott3.3draft1,"['Pimpinella magna dissectifolia', 'Pimpinella nigra arenaria', 'Pimpinella saxifraga nigra']","['ncbi:1920202', 'gbif:5539078']",Pimpinella nigra,both,6054408,Archaeplastida,Streptophyta,Magnoliopsida,Apiales,Apiaceae,Pimpinella,,Pimpinella nigra,5268475,916750,99252,372834,372831,1005127,,[],species
pimpinella saxifraga,False,False,Pimpinella saxifraga,ICN,1.0,pimpinella saxifraga,[],False,False,Pimpinella saxifraga,1005124.0,species,ott3.3draft1,"['Apium laconicum', 'Apium saxifragum', 'Apium tragoselinum', 'Carum nigrum', 'Carum saxifraga', 'Pimpinella acaulis', 'Pimpinella angustifolia', 'Pimpinella asopii', 'Pimpinella calvertii', 'Pimpinella crispa', 'Pimpinella dissecta', 'Pimpinella genevensis', 'Pimpinella hircina', 'Pimpinella hyrcina', 'Pimpinella laciniata', 'Pimpinella laconica', 'Pimpinella latifolia', 'Pimpinella lucida', 'Pimpinella magna', 'Pimpinella magna dissecta', 'Pimpinella major', 'Pimpinella media', 'Pimpinella minor', 'Pimpinella ovata', 'Pimpinella poteriifolia', 'Pimpinella pratensis', 'Pimpinella rotunda', 'Pimpinella rotundifolia', 'Pimpinella saxifraga alpestris', 'Pimpinella saxifraga cinerea', 'Pimpinella saxifraga dissecta', 'Pimpinella saxifraga dissectifolia', 'Pimpinella saxifraga dissectiformis', 'Pimpinella saxifraga genevensis', 'Pimpinella saxifraga hircina', 'Pimpinella saxifraga minor', 'Pimpinella saxifraga montana', 'Pimpinella saxifraga procera', 'Pimpinella saxifraga saxifraga', 'Pimpinella saxifraga seseliifolia', 'Pimpinella saxifraga tevennensis', 'Pimpinella variifolia', 'Selinum pimpinella', 'Tragoselinum hircinum', 'Tragoselinum minus', 'Tragoselinum saxifragum']","['ncbi:40959', 'gbif:7622278', 'irmng:11370185']",Pimpinella saxifraga,both,1005124,Archaeplastida,Streptophyta,Magnoliopsida,Apiales,Apiaceae,Pimpinella,,Pimpinella saxifraga,5268475,916750,99252,372834,372831,1005127,,[],species
pinus mugo,False,False,Pinus mugo,ICN,1.0,pinus mugo,[],False,False,Pinus mugo,1069751.0,species,ott3.3draft1,"['Pinus montana', 'Pinus montana prostrasta', 'Pinus mughos', 'Pinus mugo nana', 'Pinus obliqua', 'Pinus rubriflora', 'Pinus sylvestris mugho']","['ncbi:28528', 'gbif:5285385', 'irmng:10194223']",Pinus mugo,both,1069751,Archaeplastida,Streptophyta,,Pinales,Pinaceae,Pinus,,Pinus mugo,5268475,916750,,4736806,994067,771683,,[],species
pinus sibirica,False,False,Pinus sibirica,ICN,1.0,pinus sibirica,[],False,False,Pinus sibirica,814113.0,species,ott3.3draft1,"['Pinus cembra sibirica', 'Pinus cembra var. sibirica', 'Pinus coronans', 'Pinus hingganensis', 'Pinus sibirica hingganensis']","['ncbi:62752', 'gbif:5284667']",Pinus sibirica,both,814113,Archaeplastida,Streptophyta,,Pinales,Pinaceae,Pinus,,Pinus sibirica,5268475,916750,,4736806,994067,771683,,[],species
plantago alpina,False,False,Plantago alpina,ICN,1.0,plantago alpina,[],False,False,Plantago alpina,217265.0,species,ott3.3draft1,"['Arnoglossum alpinum', 'Plantaginella alpina', 'Plantago alpina alpina', 'Plantago alpina eriopoda', 'Plantago alpina incana', 'Plantago alpina penyalarensis', 'Plantago bidentata', 'Plantago cinerascens', 'Plantago incana', 'Plantago maritima alpina', 'Plantago ovina', 'Plantago penyalarensis', 'Plantago stylosa']","['ncbi:197791', 'gbif:7303060']",Plantago alpina,both,217265,Archaeplastida,Streptophyta,Magnoliopsida,Lamiales,Plantaginaceae,Plantago,,Plantago alpina,5268475,916750,99252,23736,1041309,609811,,[],species
plantago atrata,False,False,Plantago atrata,ICN,1.0,plantago atrata,[],False,False,Plantago atrata,989051.0,species,ott3.3draft1,['Plantago montana'],"['ncbi:101997', 'gbif:8083357']",Plantago atrata,both,989051,Archaeplastida,Streptophyta,Magnoliopsida,Lamiales,Plantaginaceae,Plantago,,Plantago atrata,5268475,916750,99252,23736,1041309,609811,,[],species
plantago coronopus,False,False,Plantago coronopus,ICN,1.0,plantago coronopus,[],False,False,Plantago coronopus,989049.0,species,ott3.3draft1,"['Arnoglossum subulatum', 'Asterogeum laciniatum', 'Coronopus vulgaris', 'Linaria triphylla neglecta', 'Plantago aschersonii', 'Plantago ceratophylla', 'Plantago columnae', 'Plantago cornuti', 'Plantago coronopus canariensis', 'Plantago coronopus ceratophylla', 'Plantago coronopus columnae', 'Plantago coronopus erecta', 'Plantago coronopus firma', 'Plantago coronopus integrata', 'Plantago coronopus laciniata', 'Plantago coronopus latifolia', 'Plantago coronopus majoricensis', 'Plantago coronopus maritima', 'Plantago coronopus maroccana', 'Plantago coronopus occidentalis', 'Plantago coronopus pseudomacrorrhiza', 'Plantago coronopus rigida', 'Plantago coronopus sabrinae', 'Plantago coronopus simplex', 'Plantago coronopus stricta', 'Plantago coronopus subspinulosa', 'Plantago coronopus tlemceniana', 'Plantago erubescens', 'Plantago jacquini', 'Plantago laciniata', 'Plantago lacustris', 'Plantago macrorhiza occidentalis', 'Plantago majoricensis', 'Plantago neglecta', 'Plantago prionota', 'Plantago pseudo-ceratophylla', 'Plantago sabrinae', 'Plantago stellaris', 'Plantago tenuis', 'Synthyris laciniata']","['ncbi:101996', 'worms:425922', 'gbif:3189739', 'irmng:11112632']",Plantago coronopus,both,989049,Archaeplastida,Streptophyta,Magnoliopsida,Lamiales,Plantaginaceae,Plantago,,Plantago coronopus,5268475,916750,99252,23736,1041309,609811,,[],species
plantago sarda,True,False,Plantago varia,ICN,0.8571428656578064,plantago sarda,[],False,False,Plantago varia,884095.0,species,ott3.3draft1,"['Plantago bellidioides runcinata', 'Plantago consanguinea', 'Plantago debilis', 'Plantago mitchellii', 'Plantago runcinata', 'Plantago sericophylla', 'Plantago struthionis']","['ncbi:589153', 'gbif:7302983']",Plantago varia,both,884095,Archaeplastida,Streptophyta,Magnoliopsida,Lamiales,Plantaginaceae,Plantago,,Plantago varia,5268475,916750,99252,23736,1041309,609811,,[],species
platanus orientalis,False,False,Platanus orientalis,ICN,1.0,platanus orientalis,[],False,False,Platanus orientalis,787466.0,species,ott3.3draft1,"['Platanus algeriensis', 'Platanus cuneata', 'Platanus digitata', 'Platanus elongata', 'Platanus insularis', 'Platanus intermedia', 'Platanus laciniata', 'Platanus macrophylla', 'Platanus nana', 'Platanus nepalensis', 'Platanus orientalior', 'Platanus orientalis digitata', 'Platanus orientalis insularis', 'Platanus palmata', 'Platanus pyramidalis', 'Platanus reuteri', 'Platanus umbraculifera', 'Platanus umbrosa', 'Platanus undulata', 'Platanus vitifolia', 'Platanus vulgaris', 'Platanus vulgaris orientalis']","['ncbi:122832', 'gbif:3152816', 'irmng:10696836']",Platanus orientalis,both,787466,Archaeplastida,Streptophyta,Magnoliopsida,Proteales,Platanaceae,Platanus,,Platanus orientalis,5268475,916750,99252,828868,62537,62539,,[],species
poa cenisia,False,False,Poa cenisia,ICN,1.0,poa cenisia,['sibling_higher'],False,False,Poa cenisia,923691.0,species,ott3.3draft1,"['Brachypodium cenisium', 'Poa cenisia coarctata', 'Poa cenisia contracta', 'Poa cenisia flexuosa', 'Poa cenisia fontqueri', 'Poa cenisia halleri', 'Poa cenisia halleridis', 'Poa cenisia pallens', 'Poa cenisia pallescens', 'Poa cenisia pallida', 'Poa cenisia sardoa', 'Poa contracta', 'Poa distichophylla', 'Poa flexuosa', 'Poa fontqueri', 'Poa halleridis', 'Poa lepusnica', 'Poa minor', 'Poa ophiolithica', 'Poa pallens', 'Poa pallescens', 'Poa psychrophila']","['ncbi:269372', 'gbif:4137228']",Poa cenisia,both,923691,Archaeplastida,Streptophyta,Magnoliopsida,Poales,Poaceae,Poa,,Poa cenisia,5268475,916750,99252,921871,508090,985636,,['sibling_higher'],species
poa chaixii,False,False,Poa chaixii,ICN,1.0,poa chaixii,['sibling_higher'],False,False,Poa chaixii,397792.0,species,ott3.3draft1,"['Cynodon sudeticus', 'Poa chaixii glabra', 'Poa chaixii laxa', 'Poa chaixii purpurascens', 'Poa chaixii rubens', 'Poa chaixii straminea', 'Poa chaixii virginea', 'Poa haemii', 'Poa latifolia', 'Poa quadripedalis', 'Poa rubens', 'Poa sclerophylla', 'Poa sudetica', 'Poa sudetica atrata', 'Poa sudetica cucullata', 'Poa sudetica densa', 'Poa sudetica rubens', 'Poa sudetica virginea', 'Poa sudetica viridis', 'Poa sylvatica', 'Poa trinervata', 'Poa willemetiana']","['ncbi:269367', 'gbif:2704211', 'irmng:10208915']",Poa chaixii,both,397792,Archaeplastida,Streptophyta,Magnoliopsida,Poales,Poaceae,Poa,,Poa chaixii,5268475,916750,99252,921871,508090,985636,,['sibling_higher'],species
poa perconcinnia,True,False,Poa perconcinna,ICN,0.9333333373069764,poa perconcinnia,['sibling_higher'],False,False,Poa molinerii,397791.0,species,ott3.3draft1,"['Poa bulbosa concinna', 'Poa concinna', 'Poa concinna cenisia', 'Poa molineri', 'Poa perconcinna']","['ncbi:269366', 'gbif:4114941']",Poa molinerii,both,397791,Archaeplastida,Streptophyta,Magnoliopsida,Poales,Poaceae,Poa,,Poa molinerii,5268475,916750,99252,921871,508090,985636,,['sibling_higher'],species
poa trivialis,False,False,Poa trivialis,ICN,1.0,poa trivialis,['sibling_higher'],False,False,Poa trivialis,302802.0,species,ott3.3draft1,"['Aira semineutra', 'Phalaris semineutra', 'Poa angustifolia', 'Poa ariguensis', 'Poa attica', 'Poa callida', 'Poa dubia', 'Poa kitaibelii', 'Poa modesta', 'Poa palustris', 'Poa panicea', 'Poa perouinii', 'Poa pichinchensis', 'Poa pollinensis', 'Poa scabra', 'Poa semineutra', 'Poa setacea', 'Poa stolonifera', 'Poa sylvicola', 'Poa trachyphylla', 'Poa tristriata', 'Poa trivialis attica', 'Poa trivialis filiculmis', 'Poa trivialis glabra', 'Poa trivialis holsatia', 'Poa trivialis humilis', 'Poa trivialis latifolia', 'Poa trivialis multiflora', 'Poa trivialis obtusata', 'Poa trivialis pallescens', 'Poa trivialis parviflora', 'Poa trivialis prorepens', 'Poa trivialis semineutra', 'Poa trivialis septentrionalis', 'Poa trivialis stricta', 'Poa trivialis sylvicola', 'Poa trivialis umbrosa', 'Poa trivialis woronowii', 'Poa uda', 'Poa violascens', 'Poa woronowii']","['ncbi:89684', 'worms:993883', 'gbif:8300875', 'irmng:10207826']",Poa trivialis,both,302802,Archaeplastida,Streptophyta,Magnoliopsida,Poales,Poaceae,Poa,,Poa trivialis,5268475,916750,99252,921871,508090,985636,,['sibling_higher'],species
podospermum roseum,False,False,Podospermum roseum,ICN,1.0,podospermum roseum,[],False,False,Podospermum roseum,400689.0,species,ott3.3draft1,"['Scorzonera purpurea subsp. rosea', 'Scorzonera rosea', 'Scorzonera rosea elata', 'Scorzonera rosea montana', 'Scorzonera rosea ramosa', 'Scorzonera rosea rosea', 'Scorzonera rosea simplex', 'Tragopogon rhodanthus']","['ncbi:268356', 'gbif:5397918']",Podospermum roseum,both,400689,Archaeplastida,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Podospermum,,Podospermum roseum,5268475,916750,99252,1042120,46248,969720,,[],species
polygonatum odoratum,False,False,Polygonatum odoratum,ICN,1.0,polygonatum odoratum,[],False,False,Polygonatum odoratum,616151.0,species,ott3.3draft1,"['Convallaria odorata', 'Polygonatum polygonatum']","['ncbi:82207', 'worms:426046', 'gbif:2770228', 'irmng:11881889']",Polygonatum odoratum,both,616151,Archaeplastida,Streptophyta,Magnoliopsida,Asparagales,Asparagaceae,Polygonatum,,Polygonatum odoratum,5268475,916750,99252,557124,17704,20731,,[],species
polygonatum verticillatum,False,False,Polygonatum verticillatum,ICN,1.0,polygonatum verticillatum,[],False,False,Polygonatum verticillatum,676687.0,species,ott3.3draft1,"['Campydorum verticillatum publ', 'Convallaria leptophylla', 'Convallaria stellifolia', 'Convallaria verticillata', 'Evallaria verticillata oppr', 'Mondo kansuense', 'Polygonatum angustifolium', 'Polygonatum erythrocarpum', 'Polygonatum jacquemontianum', 'Polygonatum kansuense', 'Polygonatum leptophyllum', 'Polygonatum macrophyllum', 'Polygonatum minutiflorum', 'Polygonatum roseum', 'Polygonatum verticillatum gracile', 'Polygonatum verticillatum microphyllum', 'Polygonatum verticillatum stellifolium', 'Sigillum verticillatum', 'Troxilanthes angustifolia', 'Troxilanthes lanceolata', 'Troxilanthes ramosa']","['ncbi:261426', 'gbif:2770004']",Polygonatum verticillatum,both,676687,Archaeplastida,Streptophyta,Magnoliopsida,Asparagales,Asparagaceae,Polygonatum,,Polygonatum verticillatum,5268475,916750,99252,557124,17704,20731,,[],species
polygonum amphibium,False,True,Polygonum amphibium,ICN,1.0,polygonum amphibium,[],False,False,Persicaria amphibia,146127.0,species,ott3.3draft1,"['Chulusium amphibium', 'Chulusium fluitans', 'Persicaria amphibia amurensis', 'Persicaria amphibia natans', 'Persicaria amphibia terrestre', 'Persicaria amphibia terrestris', 'Persicaria amurensis', 'Persicaria fluitans', 'Persicaria nebraskensis', 'Polygonum amphibia amurensis', 'Polygonum amphibium', 'Polygonum amphibium amurense', 'Polygonum amphibium amurensis', 'Polygonum amphibium aquaticum', 'Polygonum amphibium terrestre', 'Polygonum amphibium terrestris', 'Polygonum amphibium vestitum', 'Polygonum amurense', 'Polygonum aquaticum', 'Polygonum bistorta', 'Polygonum coccineum terrestre', 'Polygonum muehlenbergii terrestre', 'Polygonum muhlenbergii terrestre', 'Polygonum natans', 'Polygonum platyphyllum', 'Polygonum purpureum', 'Polygonum salicifolium', 'Polygonum terrestre']","['ncbi:254780', 'gbif:6391648']",Persicaria amphibia,both,146127,Archaeplastida,Streptophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Persicaria,,Persicaria amphibia,5268475,916750,99252,216628,904376,64965,,[],species
polygonum hydropiper,False,True,Polygonum hydropiper,ICN,1.0,polygonum hydropiper,[],False,False,Persicaria hydropiper,896894.0,species,ott3.3draft1,"['Persicaria urens', 'Polygonum escluseanum', 'Polygonum flexuosum', 'Polygonum hydropiper', 'Polygonum insolitum', 'Polygonum pallidum', 'Polygonum vasconicum']","['ncbi:46901', 'gbif:8323622', 'irmng:10588100']",Persicaria hydropiper,both,896894,Archaeplastida,Streptophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Persicaria,,Persicaria hydropiper,5268475,916750,99252,216628,904376,64965,,[],species
polygonum viviparum,False,True,Polygonum viviparum,ICN,1.0,polygonum viviparum,[],False,False,Bistorta affinis,950903.0,species,ott3.3draft1,"['Polygonum affine', 'Polygonum brunonis', 'Polygonum donianum', 'Polygonum viviparum']","['ncbi:487741', 'gbif:4033335']",Bistorta affinis,both,950903,Archaeplastida,Streptophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Bistorta,,Bistorta affinis,5268475,916750,99252,216628,904376,885332,,[],species
polystichum lonchitis,False,False,Polystichum lonchitis,ICN,1.0,polystichum lonchitis,[],False,False,Polystichum lonchitis,670422.0,species,ott3.3draft1,"['Aetopteron lonchitis', 'Aspidium aculeatum lonchitis', 'Aspidium asperum', 'Aspidium lonchitis', 'Dryopteris lonchitis', 'Hypopeltis lonchitis', 'Polypodium lonchitis', 'Polystichum asperum', 'Polystichum lonchitis japonicum', 'Polystichum lonchitis marginale', 'Polystichum marginale']","['ncbi:207865', 'gbif:2651113', 'irmng:10994661']",Polystichum lonchitis,both,670422,Archaeplastida,Streptophyta,Polypodiopsida,Polypodiales,Dryopteridaceae,Polystichum,,Polystichum lonchitis,5268475,916750,166292,93178,340301,293159,,[],species
populus nigra,False,False,Populus nigra,ICN,1.0,populus nigra,[],False,False,Populus nigra,8848.0,species,ott3.3draft1,"['Aigiros nigra', 'Populus betulifolia', 'Populus canadensis', 'Populus croatica', 'Populus dilatata', 'Populus fastigiata', 'Populus flexibilis', 'Populus hudsoniana', 'Populus hudsonica', 'Populus italica', 'Populus lombardica', 'Populus neapolitana', 'Populus nigra afghanica', 'Populus nigra betulifolia', 'Populus nigra caudina', 'Populus nigra flexibilis', 'Populus nigra grandifolia', 'Populus nigra narentana', 'Populus nigra neapolitana', 'Populus nigra pendula', 'Populus nigra sinensis', 'Populus nigra vistulensis', 'Populus nolestii', 'Populus pannonica', 'Populus polonica', 'Populus pubescens caudina', 'Populus pyramidalis', 'Populus pyramidata', 'Populus rubra', 'Populus salicifolia', 'Populus sinensis', 'Populus versicolor', 'Populus viminea', 'Populus viridis', 'Populus vistulensis']","['ncbi:3691', 'gbif:3040227', 'irmng:10588091']",Populus nigra,both,8848,Archaeplastida,Streptophyta,Magnoliopsida,Malpighiales,Salicaceae,Populus,,Populus nigra,5268475,916750,99252,429482,530183,530178,,[],species
populus tremula,False,False,Populus tremula,ICN,1.0,populus tremula,[],False,False,Populus tremula,839584.0,species,ott3.3draft1,"['Populus australis', 'Populus cilicica', 'Populus monticola', 'Populus oxyodonta', 'Populus pendula', 'Populus pseudotremula', 'Populus repanda', 'Populus stricta', 'Populus supina', 'Populus tremula dodeana', 'Populus tremula flagelliformis', 'Populus tremula freynii', 'Populus tremula microtremula', 'Populus tremula parvifolia', 'Populus tremula pendula', 'Populus tremula sallensis', 'Populus tremula tremula', 'Populus tremula villosa', 'Populus villosa', 'Tremula vulgaris']","['ncbi:113636', 'gbif:3040249', 'irmng:11232149']",Populus tremula,both,839584,Archaeplastida,Streptophyta,Magnoliopsida,Malpighiales,Salicaceae,Populus,,Populus tremula,5268475,916750,99252,429482,530183,530178,,[],species
porlieria hygrometra,False,False,Porlieria hygrometra,ICN,1.0,porlieria hygrometra,[],False,False,Porlieria hygrometra,6112537.0,species,ott3.3draft1,['Guaiacum hygrometricum'],"['ncbi:2321327', 'gbif:3987393']",Porlieria hygrometra,both,6112537,Archaeplastida,Streptophyta,Magnoliopsida,Zygophyllales,Zygophyllaceae,Porlieria,,Porlieria hygrometra,5268475,916750,99252,1069309,461732,6703,,[],species
