idTaxon,matched_name,fuzzy_match_score
Ranunculus thora L.,Ranunculus thora,95
Ranunculus sardous Crantz,Ranunculus sardous,95
Ranunculus reptans L.,Ranunculus reptans,95
Ranunculus repens L.,Ranunculus repens,95
Ranunculus parnassiifolius L.,Ranunculus parnassiifolius,96
Ranunculus muricatus L.,Ranunculus muricatus,95
Ranunculus lingua L.,Ranunculus lingua,95
Ranunculus lanuginosus L.,Ranunculus lanuginosus,96
Ranunculus gramineus L.,Ranunculus gramineus,95
Ranunculus flammula L.,Ranunculus flammula,95
Ranunculus ficaria L.,Ranunculus ficaria,95
Ranunculus crenatus,Ranunculus repens,83
Ranunculus carinthiacus Hoppe,Ranunculus carinthiacus,95
Ranunculus bulbosus L.,Ranunculus bulbosus,95
Ranunculus breyninus Crantz,Ranunculus breyninus,95
Ranunculus auricomus aggr.,Ranunculus auricomus,95
Ranunculus arvensis L.,Ranunculus arvensis,95
Ranunculus acris subsp. friesianus (Jord.) Syme,Ranunculus acris,90
Ranunculus aconitifolius L.,Ranunculus aconitifolius,96
Ramonda serbica Pancic,Ramonda serbica,95
Ramonda nathaliae Pancic et Petrovic,Ramonda nathaliae,90
Ramonda myconi (L.) Reichb.,Ramonda myconi,90
Rabiea albinota (Haw.) N.E. Br.,Rabiea albinota,90
Quisqualis indica L.,Canna indica,86
Quesnelia rufa Baker,Quesnelia rufa,95
Quercus trojana Webb,Quercus trojana,95
Quercus suber L.,Quercus suber,95
Quercus rubra L.,Quercus rubra,95
Quercus robur L.,Quercus robur,95
Quercus pubescens Willd.,Quercus pubescens,95
Quercus petraea Liebl.,Quercus petraea,95
Quercus ilex L.,Quercus ilex,95
Quercus coccifera L.,Quercus coccifera,95
Quassia amara L.,Quassia amara,95
Pyrus pyrifolia (Brum. f.) Nakai var. pyrifolia,Pyrus pyrifolia,90
Pyrus pyraster Burgsd.,Pyrus pyraster,90
Pyrus nivalis Jacq.,Pyrus nivalis,95
Pyrrosia niphoboloides M.G. Price,Pyrrosia niphoboloides,90
Pyrrosia lingua Farw. 'Cristatus',Pyrrosia lingua,90
Pyrrosia heterophylla (L.) M.G. Price,Pyrrosia heterophylla,90
Pyrrocoma crocea (A.Gray) Greene,Pyrrocoma crocea,90
Pyracantha coccinea M. Roem.,Pyracantha coccinea,95
Putoria calabrica (L. f.) DC.,Putoria calabrica,90
Puschkinia scilloides Adams,Puschkinia scilloides,95
Punica granatum L.,Punica granatum,95
Pulsatilla vulgaris subsp. grandis (Wender.) Zam.,Pulsatilla vulgaris,90
Pulsatilla vulgaris subsp. gotlandica (Johans.) ZÃ¤melis et Paegle,Pulsatilla vulgaris,90
Pulsatilla vulgaris Mill.,Pulsatilla vulgaris,95
Pulsatilla violacea subsp. georgica Rupr.) Luferov et Turczaninowia,Pulsatilla montana,86
Pulsatilla pratensis (L.) Mill.,Pulsatilla pratensis,90
Pulsatilla nigricans Storck,Pulsatilla montana,86
Pulsatilla montana (Hoppe) Rchb.,Pulsatilla montana,90
Pulsatilla halleri (All.) Willd.,Pulsatilla halleri,90
Pulsatilla dahurica (DC.) Spreng,Pulsatilla dahurica,90
Pulsatilla campanella Regel,Pulsatilla campanella,95
Pulsatilla bungeana C.A. Mey.,Pulsatilla bungeana,95
Pulsatilla alpina (L.) Delarbre subsp. alpina,Pulsatilla alpina,90
Pulsatilla albana (Steven) Bercht. et J. Presl,Pulsatilla albana,90
Pulmonaria officinalis L.,Pulmonaria officinalis,96
Pulmonaria obscura Dumort.,Pulmonaria obscura,95
Pulmonaria helvetica Bolliger,Pulmonaria helvetica,95
Pulmonaria australis (Murr) W. Sauer,Pulmonaria australis,90
Ptilotrichum spinosa (L.) Boiss.,Caesalpinia spinosa,86
Pterostyrax hispida Siebold et Zucc.,Acalypha hispida,86
Pterostylis x furcillata Rupp,Pterostylis curta,86
Pterostylis truncata Fitzg.,Pterostylis truncata,95
Pterostylis tenuicauda Kraenzl.,Pterostylis tenuicauda,95
Pterostylis robusta R.S.Rogers,Pterostylis robusta,90
Pterostylis nutans var. alba x stricta,Pterostylis nutans,90
Pterostylis longicurva Rupp,Pterostylis longicurva,95
Pterostylis fischii Nicholls,Pterostylis fischii,95
Pterostylis curta R.Br.,Pterostylis curta,95
Pterocarya fraxinifolia Sp.,Pterocarya fraxinifolia,95
Pteris sp.,Pteris,90
Pteris cretica L. 'Albo-Lineata',Pteris cretica,90
Pteris cretica L.,Pteris cretica,95
Pteridium aquilinum (L.) Kuhn,Pteridium aquilinum,90
Ptelea trifoliata L.,Ptelea trifoliata,95
Psychotria bacteriophila Valet.,Psychotria bacteriophila,95
Psidium cattleianum Sabine,Psidium cattleianum,95
Pseudotsuga menziesii (Mirb.) Franco var. menziesii,Pseudotsuga menziesii,90
Pseudomuscari azureum (Fenzl) Garbari et Greuter,Pseudomuscari azureum,90
Pseudolysimachion spicatum (L.) Opiz,Pseudolysimachion spicatum,95
Psephellus pulcherrimus (Willd.) Wagenitz,Psephellus pulcherrimus,90
Prunus tomentosa Murray,Prunus tomentosa,95
Prunus tenella Batsch,Prunus tenella,90
Prunus spinosa L.,Prunus nota,74
Prunus serrula Franch.,Prunus serrula,90
Prunus prostata Labill.,Prunus mahaleb,86
Prunus persica var. nucipersica (L.) C.K.Schneid. 'Nectared',Prunus persica,90
Prunus persica (L.) Batsch var. persica 'Amsden',Prunus persica,90
Prunus padus subsp. petraea Domin,Prunus padus,90
Prunus padus L. subsp. padus,Prunus padus,90
Prunus mahaleb L.,Prunus mahaleb,95
Prunus lusitanica L.,Prunus lusitanica,95
Prunus laurocerasus L. 'Zabeliana',Prunus laurocerasus,90
Prunus insititia L.,Prunus insititia,95
Prunus dulcis D.A. Webb,Prunus dulcis,90
Prunus cerasus L. 'Hallauer Aemli',Prunus cerasus,90
Prunus cerasifera Ehrh. 'Nigra',Prunus cerasifera,90
Prunus cerasifera Ehrh.,Prunus cerasifera,95
Prunus avium L.,Prunus avium,95
Prunus armeniaca L. 'Royal',Prunus armeniaca,90
Prunella vulgaris L.,Prunella vulgaris,95
Prunella grandiflora (L.) Scholler,Prunella grandiflora,90
Proboscidea louisianica (Mill.) Thell.,Proboscidea louisianica,90
Primula veris L. subsp. veris,Primula veris,90
Primula polyneura Franchet,Primula polyneura,90
Primula pedemontana Gaudin,Primula auricula,86
Primula palinuri Petagna,Primula palinuri,90
Primula latifolia Lapeyr.,Primula latifolia,95
Primula hirsuta All.,Primula hirsuta,95
Primula farinosa L.,Primula farinosa,95
Primula elatior (L.) L. subsp. elatior,Primula elatior,90
Primula clusiana Tausch,Primula clusiana,95
Primula auricula L.,Primula auricula,95
Prenanthes purpurea L.,Prenanthes purpurea,95
Potentilla x hybrida Wallr.,Potentilla alba,86
Potentilla uniflora Ledeb.,Potentilla uniflora,95
Potentilla sterilis Garcke,Potentilla sterilis,95
Potentilla rupestris subsp. corsica (Lehm) Rouy et E.G. Carnus,Potentilla rupestris,90
Potentilla rupestris L.,Potentilla rupestris,95
Potentilla recta L.,Potentilla recta,95
Potentilla palustris (L.) Scop.,Potentilla palustris,90
Potentilla nivea L.,Potentilla nivea,95
Potentilla nevadensis Boiss.,Potentilla nevadensis,95
Potentilla neumanniana Rchb.,Potentilla neumanniana,95
Potentilla nepalensis Hook.,Potentilla nepalensis,95
Potentilla multifida L.,Potentilla multifida,95
Potentilla micrantha DC.,Potentilla micrantha,95
Potentilla inclinata Vill.,Potentilla inclinata,95
Potentilla grammopetala Moretti,Potentilla grammopetala,95
Potentilla fruticosa L.,Potentilla fruticosa,95
Potentilla erecta (L.) Raeusch.,Potentilla erecta,90
Potentilla caulescens L.,Potentilla caulescens,95
Potentilla aurea L.,Potentilla aurea,95
Potentilla argentea L.,Potentilla argentea,95
Potentilla anserina L.,Potentilla anserina,95
Potentilla alchemilloides Lapeyr.,Potentilla alchemilloides,95
Potentilla alba L.,Potentilla alba,95
Potamogeton gramineus L.,Potamogeton gramineus,95
Potamogeton alpinus Balb.,Potamogeton alpinus,95
Portulacaria afra Jacq.,Portulacaria afra,95
Portulaca oleracea subsp. sativa (Haw.) Celak.,Portulaca oleracea,90
Portulaca oleracea L. subsp. oleracea,Portulaca oleracea,90
Portulaca grandiflora Hook.,Portulaca grandiflora,95
Porlieria hygrometra Ruiz et Pav.,Porlieria hygrometra,90
Ponthieva racemosa (Walter) C.Mohr,Ponthieva racemosa,90
Pontederia azurea Sw.,Pontederia crassipes,70
Poncirus trifoliata (L.) Raf.,Poncirus trifoliata,95
Polystichum setiferum (Forssk.) Woyn.,Polystichum setiferum,90
Polystichum munitum (Kaulf.) C. Presl,Polystichum munitum,90
Polystichum lonchitis (L.) Roth,Polystichum lonchitis,95
Polystichum braunii (Spenn.) FÃ©e,Polystichum braunii,90
Polystichum aculeatum (L.) Roth,Polystichum aculeatum,95
Polypodium vulgare L.,Polypodium vulgare,95
Polypodium pustulatum G. Forst.,Polypodium vulgare,86
Polypodium polycarpon Cav. 'Ramo-Cristatum',Polypodium polycarpon,90
Polygonum viviparum L.,Polygonum viviparum,95
Polygonum persicaria L.,Polygonum persicaria,95
Polygonum hydropiper L.,Polygonum hydropiper,95
Polygonum bistorta L.,Polygonum bistorta,95
Polygonum amphibium L. Wasserform,Polygonum amphibium,90
Polygonum amphibium L. Landform,Polygonum amphibium,90
Polygonatum verticillatum (L.) All.,Polygonatum verticillatum,95
Polygonatum odoratum (Mill.) Druce,Polygonatum odoratum,90
Polygonatum multiflorum (L.) All.,Polygonatum multiflorum,95
Polygala vulgaris L. s.l.,Polygala vulgaris,95
Polycarpon tetraphyllum (L.) L.,Polycarpon tetraphyllum,95
Poliothyrsis sinensis Oliv.,Poliothyrsis sinensis,95
Polemonium caeruleum L.,Polemonium caeruleum,95
Polanisia dodecandra (L.) DC.,Polanisia dodecandra,95
Pogostemon cablin (Blanco) Benth.,Pogostemon cablin,90
Podophyllum peltatum L.,Podophyllum peltatum,95
Podocarpus nivalis Hook.,Podocarpus nivalis,95
Poa trivialis L. subsp. trivialis,Poa trivialis,90
Poa compressa L.,Poa compressa,95
Poa chaixii Vill.,Poa chaixii,95
Poa cenisia All.,Poa cenisia,95
Poa annua L.,Poa annua,95
Plumeria rubra L. s.l.,Plumeria rubra,90
Pleiospilos compactus (Aiton) Schwantes subsp. compactus,Pleiospilos compactus,90
Pleiospilos bolusii (Hook. f.) N.E. Br.,Pleiospilos bolusii,90
Pleione bulbocodioides (Franchet) Rolfe,Pleione bulbocodioides,90
Plectranthus sp.,Plectranthus,95
Plectranthus scutellarioides (L.) R. Br.,Plectranthus scutellarioides,95
Plectranthus ernstii Codd,Plectranthus ernstii,95
Plectranthus amboinicus (Lour.) Spreng. 'Variegatus',Plectranthus amboinicus,90
Plectranthus amboinicus (Lour.) Spreng.,Plectranthus amboinicus,90
Platycodon grandiflorus (Jacq.) A. DC.,Platycodon grandiflorus,90
Platycerium bifurcatum C. Chr. var. bifurcatum 'Majus',Platycerium bifurcatum,90
Platycerium bifurcatum C. Chr. var. bifurcatum,Platycerium bifurcatum,90
Platycarya strobilacea Siebold et Zucc.,Platycarya strobilacea,90
Platycarya longipes,Platycarya longipes,100
Platanus x hispanica MÃ¼nchh.,Draba hispanica,86
Platanus orientalis L.,Platanus orientalis,95
Platanus occidentalis L.,Platanus occidentalis,95
Plantago media L.,Plantago media,95
Plantago major L. subsp. major,Plantago major,90
Plantago lanceolata L.,Plantago lanceolata,95
Plantago coronopus L.,Plantago coronopus,95
Plantago atrata subsp. atrata Hoppe,Plantago atrata,90
Plantago arenaria Waldst. et Kit.,Plantago arenaria,90
Plantago alpina L.,Plantago alpina,95
Plantago afra L.,Plantago afra,95
Pitcairnia corallina Linden et AndrÃ©,Pitcairnia corallina,90
Pisum sativum subsp. sativum convar. speciosum (Dierb.) Alef.,Pisum sativum,90
Pisum sativum subsp. sativum convar. medullare Alef.,Pisum sativum,90
Pisum sativum subsp. sativum convar. axiphium Alef.,Pisum sativum,90
Pisum sativum L. subsp. sativum convar. sativum 'Goms',Pisum sativum,90
Pistacia vera L. Femelle,Pistacia vera,90
Piper sarmentosum Roxb.,Piper betle,86
Piper retrofractum Vahl,Piper retrofractum,95
Piper longum L.,Piper longum,95
Piper betle L.,Piper betle,95
Pinus sylvestris L.,Pinus sylvestris,95
Pinus sibirica Du Tour,Pinus sibirica,90
Pinus nigra subsp. laricio Maire,Pinus nigra,90
Pinus mugo var. pumilio (Haenke) Zenari,Pinus mugo,90
Pinus mugo subsp. uncinata (DC.) Domin,Pinus mugo,90
Pinus mugo Turra subsp. mugo,Pinus mugo,90
Pinus cembra L.,Pinus cembra,95
Pinus armandii Franch. s.l.,Pinus mugo,86
Pinus aristata Engelm.,Pinus aristata,90
Pinguicula moranensis Kunth,Pinguicula moranensis,95
Pinguicula gigantea Luhrs,Pinguicula gigantea,95
Pinguicula esseriana B. Kirchn.,Pinguicula esseriana,90
Pinguicula agnata Casper,Pinguicula agnata,95
Pimpinella saxifraga aggr.,Pimpinella saxifraga,95
Pimpinella nigra Mill.,Pimpinella nigra,95
Pimpinella major (L.) Huds.,Pimpinella major,90
Pimpinella anisum L.,Pimpinella anisum,95
Pimenta dioica Merr.,Pimenta dioica,95
Pilularia globulifera L.,Pilularia globulifera,95
Pilea repens Liebm.,Pilea repens,90
Pilea microphylla (L.) Liebm.,Pilea microphylla,90
Pilea involucrata (Sims) Urb.,Pilea involucrata,90
Pilea cadierei Gagnep. et Guillaumin,Pilea cadierei,90
Picris hieracioides L. s. l.,Picris hieracioides,95
Picea schrenkiana F. et M.,Picea schrenkiana,95
Picea polita Carr.,Picea polita,95
Picea omorika (Pancic) Purk.,Picea omorika,90
Picea jezoensis (Siebold et Zucc.) CarriÃ¨re,Picea jezoensis,90
Picea ikiangensis Pritz. var. balfouriana Cheng.,Picea abies,86
Picea abies H. Karst. 'Inversa',Picea abies,90
Picea abies H. Karst. 'Clanbrassiliana',Picea abies,90
Picea abies (L.) H. Karst. 'Remontii',Picea abies,90
Picea abies (L.) H. Karst. 'Pyramidata',Picea abies,90
Picea abies (L.) H. Karst.,Picea abies,90
Phytolacca americana L.,Phytolacca americana,95
Phyteuma spicatum L.,Phyteuma spicatum,95
Phyteuma betonicifolium Vill.,Phyteuma betonicifolium,95
Physostegia virginiana (L.) Benth.,Physostegia virginiana,90
Physoplexis comosa (L.) Schur,Physoplexis comosa,90
Physocarpus opulifolius Max.,Physocarpus opulifolius,95
Physalis peruviana L.,Physalis peruviana,95
Physalis ixocarpa Hornem.,Physalis ixocarpa,95
Physalis alkekengi L.,Physalis alkekengi,95
Phyllostachys nigra var. henonis (Mitford) Rendle,Phyllostachys nigra,90
Phyllitis scolopendrium (L.) Newman,Phyllitis scolopendrium,90
Phyllanthus longifolius Lam.,Phyllanthus longifolius,95
Phyllanthus angustifolius var. elongatus Webs.,Phyllanthus angustifolius,90
Phygelius capensis E. Mey.,Phygelius capensis,95
Phuopsis stylosa (Trin.) B.D. Jacks.,Phuopsis stylosa,90
Phragmites australis (Cav.) Steud.,Phragmites australis,90
Photinia villosa (Thunb.) DC.,Photinia villosa,90
Phoenix theophrasti Greuter,Phoenix theophrasti,95
Phoenix dactylifera L.,Phoenix dactylifera,95
Phoenix canariensis Chabaud,Phoenix canariensis,95
Phlox subulata L. subsp. subulata,Phlox subulata,90
Phlox drummondii Hook.,Phlox drummondii,95
Phlox amplifolia Britton,Phlox amplifolia,90
Phlomis tuberosa L.,Phlomis tuberosa,95
Phlomis samia L.,Phlomis samia,95
Phlomis fruticosa L.,Phlomis fruticosa,95
Phleum rhaeticum (Humphries) Rauschert,Phleum rhaeticum,90
Phleum pratense L.,Phleum pratense,95
Phleum phleoides (L.) H. Karst.,Phleum phleoides,90
Phleum hirsutum Honck.,Phleum hirsutum,95
Phleum alpinum L.,Phleum alpinum,95
Philodendron cordatum Kunth,Philodendron cordatum,95
Philodendron angustisectum Engl.,Philodendron angustisectum,95
Philadelphus coronarius L.,Philadelphus coronarius,96
Phellodendron amurense Rupr.,Phellodendron amurense,95
Phedimus middendorffianus (Maxim.) 't Hart,Phedimus middendorffianus,90
Phaseolus vulgaris subsp. vulgaris var. nanus Asch. (gousses vertes),Phaseolus vulgaris,90
Phaseolus vulgaris subsp. vulgaris var. nanus Asch. (gousses jaunes),Phaseolus vulgaris,90
Phaseolus vulgaris L. subsp. vulgaris var. vulgaris (gousses vertes),Phaseolus vulgaris,90
Phaseolus vulgaris L. subsp. vulgaris var. vulgaris (gousses jaunes),Phaseolus vulgaris,90
Phaseolus coccineus L. (graines rouges),Phaseolus coccineus,90
Phaseolus coccineus L. (graines blanches),Phaseolus coccineus,90
Phalaris canariensis L.,Phalaris canariensis,95
Phalaenopsis pulchra ?,Phalaenopsis pulchra,100
Phalaenopsis pulchra (Rchb.f.) H.R.Sweet,Phalaenopsis pulchra,90
Phalaenopsis jasciata,Phalaenopsis fasciata,95
Phalaenopsis hieroglyphica (Rchb. f.) Sweet,Phalaenopsis hieroglyphica,90
Phalaenopsis gigantea J.J. Sm.,Phalaenopsis gigantea,95
Phaius tankervillea Blume,Phaius tankervilleae,89
Phacelia tanacetifolia Benth.,Phacelia tanacetifolia,95
Phacelia congesta Hook.,Phacelia congesta,95
Peumus boldus Molina,Peumus boldus,90
Peucedanum palustre (L.) Moench,Peucedanum palustre,90
Peucedanum ostruthium (L.) W.D.J. Koch,Peucedanum ostruthium,90
Peucedanum oreoselinum (L.) Moench,Peucedanum oreoselinum,90
Peucedanum cervaria (L.) Lapeyr.,Peucedanum cervaria,90
Peucedanum austriacum (Jacq.) W.D.J. Koch subsp. austriacum,Peucedanum austriacum,90
Petunia x atkinsiana W.H. Baxter,Petunia axillaris,86
Petunia integrifolia (Hook.) Schinz et Thell.,Petunia integrifolia,90
Petunia axillaris (Lam.) Britton et al.,Petunia axillaris,90
Petteria ramentacea C. Presl,Petteria ramentacea,95
Petroselinum crispum (Mill.) Fuss Radicosum Group,Petroselinum crispum,90
Petroselinum crispum (Mill.) Fuss Latifolium Group,Petroselinum crispum,90
Petroselinum crispum (Mill.) Fuss Crispum Group,Petroselinum crispum,90
Petrorhagia saxifraga (L.) Link,Petrorhagia saxifraga,95
Petrorhagia prolifera (L.) P.W. Ball et Heywood,Petrorhagia prolifera,90
Petrophytum caespitosum (Torrey et A. Gray) Rydb.,Petrophytum caespitosum,90
Petrocallis pyrenaica (L.) R. Br.,Petrocallis pyrenaica,90
Petiveria alliacea L.,Petiveria alliacea,95
Petasites paradoxus (Retz) Baumg.,Petasites paradoxus,90
"Petasites hybridus (L.) P. Gaertn., B. Mey. et Scherb.",Petasites hybridus,90
Petasites albus (L.) Gaertn.,Petasites albus,90
Persicaria tinctoria (Aiton) Spach,Persicaria tinctoria,90
Persicaria odorata (Lour.) SojÃ¡k,Viola odorata,86
Persea americana Mill.,Persea americana,95
Perovskia atriplicifolia Benth.,Perovskia atriplicifolia,95
Periploca graeca L.,Periploca graeca,95
Perilla frutescens (L.) Britton,Perilla frutescens,90
Pereskia aculeata Miller,Pereskia aculeata,95
Peperomia serpens C. DC.,Peperomia serpens,95
Peperomia scandens Ruiz et Pav. 'Variegata',Peperomia scandens,90
Peperomia rubella Hook.,Peperomia rubella,95
Peperomia rotundifolia Schltdl. et Cham.,Peperomia rotundifolia,90
Peperomia obtusifolia (L.) A. Dietr. 'Variegata',Peperomia obtusifolia,90
Peperomia marmorata Hook. f.,Peperomia marmorata,95
Peperomia maculosa Hook.,Peperomia maculosa,95
Peperomia columella Rauh et Hutchison,Peperomia columella,90
Peperomia clusiifolia Hook.,Peperomia clusiifolia,95
Peperomia caperata Yunck.,Peperomia caperata,95
Peperomia argyreia E. Morren,Peperomia argyreia,90
Penstemon strictus Benth.,Penstemon strictus,95
Penstemon spectabilis A. Gray,Penstemon spectabilis,95
Penstemon digitalis Sims,Penstemon digitalis,95
Pennisetum glaucum (L.) R. Br.,Pennisetum glaucum,90
Pennisetum compressum R. Br.,Pennisetum glaucum,86
Peltaria alliacea Jacq.,Peltaria alliacea,95
Pellionia repens Merr.,Pellionia repens,95
Pellionia pulchra N.E. Br.,Pellionia pulchra,95
Pelargonium x vespertinum Sweet,Pelargonium jacobii,86
Pelargonium x hortorum L.H. Bailey,Pelargonium jacobii,86
Pelargonium x fragrans (Poir.) Willd. 'Creamy Nutmeg',Pelargonium panduriforme,86
Pelargonium x chocolat-pepermint,Pelargonium jacobii,86
Pelargonium x ardens Lodd.,Pelargonium leve,86
Pelargonium worcesterae Knuth,Pelargonium worcesterae,95
Pelargonium vitifolium (L.) L'HÃ©r.,Pelargonium vitifolium,90
Pelargonium triste (L.) L'HÃ©r.,Pelargonium triste,90
Pelargonium tongaense Vorster,Pelargonium tongaense,95
Pelargonium tomentosum Jacq.,Pelargonium tomentosum,95
Pelargonium tetragonum (L. f.) L'HÃ©r.,Pelargonium tetragonum,90
Pelargonium tabulare (Burm. f.) L'HÃ©r.,Pelargonium tabulare,90
Pelargonium sidoides DC.,Pelargonium sidoides,95
Pelargonium schizopetalum Sweet,Pelargonium schizopetalum,95
Pelargonium reniforme Curtis,Pelargonium reniforme,95
Pelargonium ranunculophyllum Baker,Pelargonium ranunculophyllum,95
Pelargonium radens H.E. Moore,Pelargonium radens,90
Pelargonium quinquelobatum A. Rich.,Pelargonium quinquelobatum,95
Pelargonium quercifolium (L. f.) L'HÃ©r.,Pelargonium quercifolium,90
Pelargonium praemorsum (Andrews) F. Dietr.,Pelargonium praemorsum,90
Pelargonium peltatum (L.) L'HÃ©r.,Pelargonium peltatum,90
Pelargonium patulum Jacq.,Pelargonium patulum,95
Pelargonium panduriforme Eckl. & Zeyh.,Pelargonium panduriforme,90
Pelargonium otaviense Knuth,Pelargonium otaviense,95
Pelargonium myrrhifolium (L.) L' HÃ©r.,Pelargonium myrrhifolium,90
Pelargonium mollicomum Fourc.,Pelargonium mollicomum,95
Pelargonium laxum (Sweet) G. Don,Pelargonium laxum,90
Pelargonium klinghardtense R. Knuth,Pelargonium klinghardtense,95
Pelargonium ionidiflorum (Eckl. et Zeyh.) Steud.,Pelargonium ionidiflorum,90
Pelargonium inquinans (L.) L'HÃ©r.,Pelargonium inquinans,90
Pelargonium incrassatum (Andrews) Sims,Pelargonium incrassatum,90
Pelargonium graveolens L'HÃ©rit.,Pelargonium graveolens,95
Pelargonium graveolens L'HÃ©r. 'Filles Fines',Pelargonium graveolens,90
Pelargonium graveolens L'HÃ©r. 'Bourbon',Pelargonium graveolens,90
Pelargonium fulgidum (L.) L'HÃ©r.,Pelargonium fulgidum,90
Pelargonium exhibens Vorster,Pelargonium exhibens,95
Pelargonium endlicherianum Fenzl,Pelargonium endlicherianum,95
Pelargonium echinatum,Pelargonium echinatum,100
Pelargonium div.,Pelargonium panduriforme,86
Pelargonium denticulatum Jacq.,Pelargonium denticulatum,95
Pelargonium cucullatum subsp. strigifolium Volschenk,Pelargonium cucullatum,90
Pelargonium cucullatum (L.) L'HÃ©r.,Pelargonium cucullatum,90
Pelargonium crispum (L.) L'HÃ©r.,Pelargonium crispum,90
Pelargonium citronellum J.J.A. van der Walt,Pelargonium citronellum,90
Pelargonium caylae Humbert,Pelargonium caylae,95
Pelargonium carnosum,Pelargonium cerinum,87
Pelargonium capitatum x radens,Blitum capitatum,86
Pelargonium candicans Spreng.,Pelargonium candicans,95
Pelargonium caffrum (Eckl. et Zeyh.) Harv.,Pelargonium caffrum,90
Pelargonium bowkeri Harv.,Pelargonium bowkeri,95
Pelargonium blandfordianum Sweet,Pelargonium blandfordianum,95
Pelargonium bicolor Sol.,Pelargonium bicolor,95
Pelargonium australe Willd.,Pelargonium australe,95
Pelargonium aridum R.A. Dyer,Pelargonium aridum,90
Pelargonium alchemilloides (L.) L'HÃ©r.,Pelargonium alchemilloides,95
Pelargonium album J.J.A. van der Walt,Pelargonium album,90
Pelargonium acetosum (L.) L' HÃ©r.,Pelargonium acetosum,90
Pelargonium abrotanifolium (L. f.) Jacq.,Pelargonium abrotanifolium,90
Pelargonium 'Yellow River',Pelargonium leve,86
Pelargonium 'Sweet Miriam',Pelargonium leve,86
Pelargonium 'Round Leaf Rose',Pelargonium juttae,86
Pelargonium 'Rober's Lemon Rose',Pelargonium jacobii,86
Pelargonium 'Prince of Orange',Pelargonium jacobii,86
Pelargonium 'Pink Capitatum',Blitum capitatum,86
Pelargonium 'Orange Fizz',Pelargonium leve,86
Pelargonium 'Lemon Fancey',Pelargonium leve,86
Pelargonium 'Lavender Lad',Pelargonium leve,86
Pelargonium 'Lady Plymouth',Pelargonium album,86
Pelargonium 'Hurricane',Pelargonium leve,77
Pelargonium 'Hazelnut',Pelargonium album,79
Pelargonium 'Godfrye's Pride',Pelargonium juttae,86
Pelargonium 'Dimeierii Lila',Pelargonium juttae,86
Pelargonium 'Cola',Pelargonium klinghardtense,86
Pelargonium 'Chlorinda',Pelargonium echinatum,79
Pelargonium 'Charity',Pelargonium aridum,79
Pelargonium 'Brillantine',Pelargonium leve,86
Pelargonium 'Attar of Roses',Pelargonium juttae,86
Pelargonium 'Atomic Snowflake',Pelargonium jacobii,86
Payena leerii (Teijsm. et Binn.) Kurz,Payena leerii,90
Paulownia tomentosa (Thunb.) Steud. s.l.,Paulownia tomentosa,90
"Paullinia cupana Humb., Bonpl. et Kunth",Paullinia cupana,90
Pastinaca sativa L. s.l.,Pastinaca sativa,95
Passiflora tarminiana Coppens & V.E. Barney,Passiflora,90
Passiflora sp.,Passiflora,95
Passiflora quadrangularis L.,Passiflora quadrangularis,96
Passiflora naviculata Griseb.,Passiflora naviculata,95
Passiflora lutea L.,Passiflora lutea,95
Passiflora ligularis Juss.,Passiflora ligularis,95
Passiflora caerulea L.,Passiflora caerulea,95
Passiflora amethystina J.C. Mikan,Passiflora amethystina,90
Parthenocissus tricuspidata (Siebold et Zucc.) Planch. 'Veitchii',Parthenocissus tricuspidata,90
Parthenocissus quinquefolia (L.) Planch.,Parthenocissus quinquefolia,95
Parrotia persica (DC.) C.A. Mey.,Parrotia persica,90
Paronychia kapela subsp. serpyllifolia Graebn.,Paronychia kapela,90
Paronychia argentea Lam.,Paronychia argentea,95
Parodia werdermanniana (Herter) N.P. Taylor,Parodia,90
Parodia sp.,Parodia,95
Parodia schumanniana (Nicolai) F.H. Brandt,Parodia schumanniana,90
Parodia ottonis (Lehm.) N.P. Taylor,Parodia ottonis,90
Parodia mammulosa,Parodia,90
Parodia magnifica (F. Ritter ) F.H. Brandt,Parodia magnifica,90
Parodia leninghausii (Haage) F.H. Brandt,Parodia leninghausii,90
Parnassia palustris L.,Parnassia palustris,95
Paris quadrifolia L.,Paris quadrifolia,95
Parietaria officinalis L.,Parietaria officinalis,96
Parietaria judaica L.,Parietaria judaica,95
Paradisea liliastrum (L.) Bertol.,Paradisea liliastrum,90
Papilionanthe teres (Roxb.) Schltr.,Papilionanthe teres,90
Paphiopedilum sp.,Paphiopedilum,95
Paphinia neudeckeri Jenny,Paphinia neudeckeri,95
Papaver somniferum L.,Papaver somniferum,95
Papaver rupifragum Boiss. et Reut.,Papaver rupifragum,90
Papaver rhoeas L.,Papaver rhoeas,95
Papaver pilosum Sibth. et Sm.,Papaver pilosum,90
Papaver orientale L.,Papaver orientale,95
Papaver occidentale (Markgr.) H.E. Hess et Landolt,Papaver occidentale,90
Papaver dubium L. s. l.,Papaver dubium,90
Papaver atlanticum (Ball) Coss.,Papaver atlanticum,90
Panicum virgatum L.,Panicum virgatum,95
Panicum miliaceum L.,Panicum miliaceum,95
Pandanus veitchii hort.,Pandanus veitchii,95
Pancratium maritimum L.,Pancratium maritimum,95
Panax quinquefolius L.,Panax quinquefolius,95
Palisota bracteosa C.B. Clarke,Palisota bracteosa,90
Paeonia veitchii Lynch,Paeonia veitchii,95
