ipen,determination,multiplication,hivernage,protectionHiv1,protectionHiv2,taxonFamille1,taxonControle,taxonBiblio,periodeDeSemis,idTaxon,secteur,matched_name,fuzzy_match_score,Inventaire FRIBG,is_approximate_match,is_synonym,nomenclature_code,score,search_string,taxon.flags,taxon.is_suppressed,taxon.is_suppressed_from_synth,taxon.name,taxon.ott_id,taxon.rank,taxon.source,taxon.synonyms,taxon.tax_sources,taxon.unique_name,_merge
,,,,,,Caprifoliaceae,,,,Abelia mosanensis Nakai,Syst̬me 1,Abelia mosanensis,95.0,abelia mosanensis,False,True,ICN,1.0,abelia mosanensis,[],False,False,Zabelia mosanensis,425469.0,species,ott3.3draft1,"['Abelia mosanensis', 'Zabelia monsanensis']",['ncbi:761860'],Zabelia mosanensis,both
XX 0 FRIBG 20080454,,,,,,Caprifoliaceae,,,,Abelia x grandiflora (Andr̩) Rehder,Place du bouleau,Arenaria grandiflora,86.0,arenaria grandiflora,False,False,ICN,1.0,arenaria grandiflora,[],False,False,Arenaria grandiflora,114805.0,species,ott3.3draft1,[],"['ncbi:305635', 'gbif:7553558']",Arenaria grandiflora,both
XX 0 FRIBG 20080453,,,,,,Oleaceae,,,,Abeliophyllum distichum Nakai,Place du bouleau,Abeliophyllum distichum,95.0,abeliophyllum distichum,False,False,ICN,1.0,abeliophyllum distichum,[],False,False,Abeliophyllum distichum,320380.0,species,ott3.3draft1,"['Abeliophyllum distichum albiflorum', 'Abeliophyllum distichum eburneum', 'Abeliophyllum distichum lilacinum', 'Abeliophyllum distichum obtusicarpum', 'Abeliophyllum distichum viridicalycinum']","['ncbi:126358', 'gbif:7326165']",Abeliophyllum distichum,both
XX 0 MJB 19--54230,,Semis,,,,Malvaceae,,,05 g,Abelmoschus esculentus (L.) Moench,Serre 5,Abelmoschus esculentus,90.0,abelmoschus esculentus,False,False,ICN,1.0,abelmoschus esculentus,[],False,False,Abelmoschus esculentus,514975.0,species,ott3.3draft1,"['Abelmoschus bammia', 'Abelmoschus esculentus praecox', 'Abelmoschus esculentus textilis', 'Abelmoschus officinalis', 'Abelmoschus praecox', 'Abelmoschus tuberculatus', 'Hibiscus bammia', 'Hibiscus esculentus', 'Hibiscus ficifolius', 'Hibiscus longifolius', 'Hibiscus praecox']","['ncbi:455045', 'gbif:3152707', 'irmng:10908198']",Abelmoschus esculentus,both
XX 0 FRIBG 10000081,,,Couches,,,Malvaceae,,,11 s,Abelmoschus manihot (L.) Medik.,Syst̬me 3,Abelmoschus manihot,90.0,abelmoschus manihot,False,False,ICN,1.0,abelmoschus manihot,[],False,False,Abelmoschus manihot,17450.0,species,ott3.3draft1,[],"['ncbi:183220', 'gbif:3152706', 'irmng:10460003']",Abelmoschus manihot,both
GT 0 M 2004/2358,,,,,,Malvaceae,,,11 s,Abelmoschus moschatus Medik.,Mur,Abelmoschus moschatus,95.0,abelmoschus moschatus,False,False,ICN,1.0,abelmoschus moschatus,[],False,False,Abelmoschus moschatus,1030301.0,species,ott3.3draft1,"['Hibiscus abelmoschus', 'Hibiscus cardiophyllus', 'Laguna abelmoschus']","['ncbi:1170222', 'gbif:8312665', 'irmng:10198179', 'irmng:11413786']",Abelmoschus moschatus,both
XX 0 FRIBG 10000463,,,,,,Pinaceae,,,,Abies alba Mill.,Arboretum,Abies alba,90.0,abies alba,False,False,ICN,1.0,abies alba,[],False,False,Abies alba,887363.0,species,ott3.3draft1,"['? compacta', 'Abies alba alba', 'Abies alba apennina', 'Abies alba pardei', 'Abies alba pendula', 'Abies alba podolica', 'Abies alba pyramidalis', 'Abies argentea', 'Abies baldensis', 'Abies candicans', 'Abies chlorocarpa', 'Abies duplex', 'Abies excelsa', 'Abies miniata', 'Abies nobilis', 'Abies pardei', 'Abies pectinata', 'Abies picea', 'Abies taxifolia', 'Abies vulgaris', 'Picea excelsa', 'Picea pectinata', 'Picea pectinata pendula', 'Pinus abies', 'Pinus abies leioclada', 'Pinus abies pectinata', 'Pinus baldensis', 'Pinus heterophylla', 'Pinus lucida', 'Pinus pectinata', 'Pinus picea']","['ncbi:45372', 'gbif:2685484', 'irmng:11034791']",Abies alba,both
XX 0 FRIBG 20150333,,,,,,Pinaceae,,,,Abies koreana E.H. Wilson,Syst̬me 4,Abies koreana,90.0,abies koreana,False,False,ICN,1.0,abies koreana,[],False,False,Abies koreana,876314.0,species,ott3.3draft1,['Abies koreana nigrocarpa'],"['ncbi:97170', 'gbif:2685681']",Abies koreana,both
XX 0 FRIBG 10000472,,,,,,Pinaceae,,,,Abies nordmanniana Spach.,Arboretum,Abies nordmanniana,95.0,abies nordmanniana,False,False,ICN,1.0,abies nordmanniana,[],False,False,Abies nordmanniana,876306.0,species,ott3.3draft1,['Abies leioclada'],"['ncbi:97177', 'gbif:2685552']",Abies nordmanniana,both
XX 0 FRIBG 19740001,,,,,,Pinaceae,,,,Abies numidica de Lannoy,Microscopie,Abies numidica,90.0,abies numidica,False,False,ICN,1.0,abies numidica,[],False,False,Abies numidica,140066.0,species,ott3.3draft1,"['Abies baborensis', 'Abies pinsapo baborensis', 'Abies pinsapo numidica', 'Picea numidica', 'Pinus abies africana', 'Pinus baborensis']","['ncbi:88725', 'gbif:2685546']",Abies numidica,both
