ott_id,organism_otol_kingdom,organism_otol_phylum,organism_otol_class,organism_otol_order,organism_otol_family,organism_otol_genus,organism_otol_species,organism_otol_unique_name,organism_otol_kingdom_ott_id_ott_id,organism_otol_phylum_ott_id,organism_otol_class_ott_id,organism_otol_order_ott_id,organism_otol_family_ott_id,organism_otol_genus_ott_id,organism_otol_species_ott_id,flags,rank
997941,Archaeplastida,Streptophyta,Magnoliopsida,Asparagales,Iridaceae,Gladiolus,,Gladiolus italicus,5268475,916750,99252,557124,1087540,524985,,[],species
997946,Archaeplastida,Streptophyta,Magnoliopsida,Asparagales,Iridaceae,Gladiolus,,Gladiolus imbricatus,5268475,916750,99252,557124,1087540,524985,,[],species
998117,Archaeplastida,Streptophyta,Magnoliopsida,Apiales,Apiaceae,Eryngium,,Eryngium yuccifolium,5268475,916750,99252,372834,372831,64762,,[],species
998713,Archaeplastida,Streptophyta,Magnoliopsida,Asparagales,Orchidaceae,Bifrenaria,,Bifrenaria calcarata,5268475,916750,99252,557124,568878,147332,,[],species
998890,Archaeplastida,Streptophyta,Magnoliopsida,Laurales,Lauraceae,Sassafras,,Sassafras albidum,5268475,916750,99252,913244,913246,998888,,[],species
999065,Archaeplastida,Streptophyta,Magnoliopsida,Cucurbitales,Begoniaceae,Begonia,,Begonia grandis,5268475,916750,99252,11011,530192,530190,,[],species
1000252,Archaeplastida,Streptophyta,Magnoliopsida,Buxales,Buxaceae,Buxus,,Buxus sempervirens,5268475,916750,99252,861896,1000247,1000250,,['sibling_higher'],species
1000262,Archaeplastida,Streptophyta,Magnoliopsida,Malpighiales,Linaceae,Linum,,Linum usitatissimum,5268475,916750,99252,429482,1000257,1000260,,[],species
1001022,Archaeplastida,Streptophyta,Magnoliopsida,Poales,Poaceae,Koeleria,,Koeleria pyramidata,5268475,916750,99252,921871,508090,506726,,[],species
1001031,Archaeplastida,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Coreopsis,,Coreopsis grandiflora,5268475,916750,99252,1042120,46248,1001033,,['sibling_higher'],species
1001035,Archaeplastida,Streptophyta,Magnoliopsida,Liliales,Colchicaceae,Colchicum,,Colchicum speciosum,5268475,916750,99252,258488,604247,1001037,,[],species
1001039,Archaeplastida,Streptophyta,Magnoliopsida,Apiales,Apiaceae,Conium,,Conium maculatum,5268475,916750,99252,372834,372831,1001044,,[],species
1001050,Archaeplastida,Streptophyta,Magnoliopsida,Gentianales,Rubiaceae,Coffea,,Coffea arabica,5268475,916750,99252,524062,1014022,227658,,['sibling_higher'],species
