is_approximate_match,is_synonym,matched_name,nomenclature_code,score,search_string,taxon.flags,taxon.is_suppressed,taxon.is_suppressed_from_synth,taxon.name,taxon.ott_id,taxon.rank,taxon.source,taxon.synonyms,taxon.tax_sources,taxon.unique_name
False,False,Jasminum sambac,ICN,1.0,jasminum sambac,['sibling_higher'],False,False,Jasminum sambac,295476,species,ott3.3draft1,"['Jasminum bicorollatum', 'Jasminum blancoi', 'Jasminum heyneanum', 'Jasminum odoratum', 'Jasminum pubescens', 'Jasminum quadrifolium', 'Jasminum quinqueflorum', 'Jasminum quinqueflorum pubescens', 'Jasminum sambac duplex', 'Jasminum sambac gimea', 'Jasminum sambac goaense', 'Jasminum sambac heyneanum', 'Jasminum sambac kerianum', 'Jasminum sambac nemocalyx', 'Jasminum sambac normale', 'Jasminum sambac plenum', 'Jasminum sambac syringifolium', 'Jasminum sambac trifoliatum', 'Jasminum sambac undulatum', 'Jasminum sambac verum', 'Jasminum sanjurium', 'Jasminum sanjurium publ', 'Jasminum trifoliatum', 'Jasminum undulatum', 'Jasminum zambac', 'Mogorium gimea', 'Mogorium goaense', 'Mogorium sambac', 'Mogorium undulatum', 'Nyctanthes goa', 'Nyctanthes sambac', 'Nyctanthes undulata']","['ncbi:660624', 'gbif:7587215', 'irmng:11103202']",Jasminum sambac
False,False,Vanilla planifolia,ICN,1.0,vanilla planifolia,[],False,False,Vanilla planifolia,713007,species,ott3.3draft1,"['Epidendrum rubrum', 'Myrobroma fragrans', 'Notylia planifolia', 'Notylia sativa', 'Notylia sylvestris', 'Vanilla aromatica', 'Vanilla bampsiana', 'Vanilla duckei', 'Vanilla fragrans', 'Vanilla planifolia angusta', 'Vanilla planifolia haapape', 'Vanilla planifolia potiti', 'Vanilla planifolia tiarei', 'Vanilla planifolia tihita', 'Vanilla rubra', 'Vanilla sativa', 'Vanilla sylvestris', 'Vanilla viridiflora']","['ncbi:51239', 'gbif:2803398', 'irmng:10208945']",Vanilla planifolia
False,True,Cinnamomum zeylanicum,ICN,1.0,cinnamomum zeylanicum,[],False,False,Cinnamomum verum,481247,species,ott3.3draft1,"['Cinnamomum antillarum', 'Cinnamomum aromaticum', 'Cinnamomum barthii', 'Cinnamomum bengalense', 'Cinnamomum biafranum', 'Cinnamomum bonplandii', 'Cinnamomum boutonii', 'Cinnamomum capense', 'Cinnamomum cayennense', 'Cinnamomum cinnamomum', 'Cinnamomum commersonii', 'Cinnamomum cordifolium', 'Cinnamomum decandollei', 'Cinnamomum delessertii', 'Cinnamomum ellipticum', 'Cinnamomum erectum', 'Cinnamomum humboldtii', 'Cinnamomum iners', 'Cinnamomum leschenaultii', 'Cinnamomum longifolium', 'Cinnamomum madrassicum', 'Cinnamomum mauritianum', 'Cinnamomum meissneri', 'Cinnamomum ovatum', 'Cinnamomum pallasii', 'Cinnamomum pleei', 'Cinnamomum pourretii', 'Cinnamomum regelii', 'Cinnamomum roxburghii', 'Cinnamomum sieberii', 'Cinnamomum sonneratii', 'Cinnamomum vaillantii', 'Cinnamomum variabile', 'Cinnamomum verum asperifolium', 'Cinnamomum verum chartaceum', 'Cinnamomum verum commune', 'Cinnamomum wolkensteinii', 'Cinnamomum zeylanicum', 'Cinnamomum zollingerii', 'Laurus cassia', 'Laurus cinnamifera', 'Laurus cinnamomea', 'Laurus cinnamomum', 'Laurus culitlaban', 'Laurus montana', 'Laurus rigida', 'Persea cinnamomum']","['ncbi:128608', 'gbif:3033987', 'irmng:10597110']",Cinnamomum verum
False,False,Persicaria odorata,ICN,1.0,persicaria odorata,[],False,False,Persicaria odorata,628619,species,ott3.3draft1,['Polygonum odoratum'],"['ncbi:580473', 'gbif:4033932']",Persicaria odorata
False,False,Piper longum,ICN,1.0,piper longum,[],False,False,Piper longum,97780,species,ott3.3draft1,"['Chavica longa', 'Chavica roxburghii', 'Chavica sarmentosa', 'Piper latifolium', 'Piper roxburghii', 'Piper sarmentosum', 'Piper turbinatum']","['ncbi:49511', 'gbif:3086338', 'irmng:11179999']",Piper longum
False,True,Piper longum,ICN,1.0,piper longum,[],False,False,Piper retrofractum,505281,species,ott3.3draft1,"['Chavica celtidiformis', 'Chavica chaba', 'Chavica hainana', 'Chavica labillardieri', 'Chavica maritima', 'Chavica officinarum', 'Chavica parvifolia', 'Chavica peepuloides', 'Chavica retrofracta', 'Cubeba chaba', 'Piper arnottianum', 'Piper callosum', 'Piper chaba', 'Piper longum', 'Piper maritimum', 'Piper officinarum', 'Piper palawanum', 'Piper parvifolium', 'Steffensia carpunya']","['ncbi:130414', 'gbif:3086342', 'gbif:8220527', 'irmng:10212696']",Piper retrofractum
False,True,Coleus amboinicus,ICN,1.0,coleus amboinicus,[],False,False,Plectranthus amboinicus,802926,species,ott3.3draft1,"['Coleus amboinicus', 'Coleus amboinicus violaceus', 'Coleus aromaticus', 'Coleus carnosus', 'Coleus crassifolius', 'Coleus subfrutectosus', 'Coleus suborbicularis', 'Coleus suganda', 'Coleus vaalae', 'Majana amboinica', 'Majana carnosa', 'Majana suganda', 'Ocimum vaalae']","['ncbi:204180', 'gbif:5341313', 'irmng:10207989']",Plectranthus amboinicus
False,False,Rungia klossii,ICN,1.0,rungia klossii,[],False,False,Rungia klossii,983569,species,ott3.3draft1,[],"['ncbi:141331', 'gbif:3780376']",Rungia klossii
False,False,Salvia divinorum,ICN,1.0,salvia divinorum,['sibling_higher'],False,False,Salvia divinorum,595171,species,ott3.3draft1,[],"['ncbi:28513', 'gbif:2927020', 'irmng:10587955']",Salvia divinorum
False,False,Piper betle,ICN,1.0,piper betle,[],False,False,Piper betle,588609,species,ott3.3draft1,"['Artanthe hexagyna', 'Betela mastica', 'Chavica auriculata', 'Chavica betle', 'Chavica blumei', 'Chavica chawya', 'Chavica chuvya', 'Chavica densa', 'Chavica siriboa', 'Cubeba melamiri', 'Cubeba seriboa', 'Macropiper potamogetonifolium', 'Piper anisodorum', 'Piper bathicarpum', 'Piper betel', 'Piper betle densum', 'Piper betle fenixii', 'Piper betle macgregorii', 'Piper betle mariannum', 'Piper betle marianum', 'Piper betle siriboa', 'Piper bidentatum', 'Piper blumei', 'Piper carnistilum', 'Piper chawya', 'Piper chuvya', 'Piper densum', 'Piper fenixii', 'Piper macgregorii', 'Piper malamiris', 'Piper malarayatense', 'Piper marianum', 'Piper philippinense', 'Piper pinguispicum', 'Piper potamogetonifolium', 'Piper puberulinodum', 'Piper rubroglandulosum', 'Piper saururus', 'Piper siriboa', 'Piperi betlum']","['ncbi:13217', 'gbif:4185172', 'gbif:4187904', 'irmng:10212694']",Piper betle
