is_approximate_match,is_synonym,matched_name,nomenclature_code,score,search_string,taxon.flags,taxon.is_suppressed,taxon.is_suppressed_from_synth,taxon.name,taxon.ott_id,taxon.rank,taxon.source,taxon.synonyms,taxon.tax_sources,taxon.unique_name
False,False,Betula humilis,ICN,1.0,betula humilis,[],False,False,Betula humilis,567478,species,ott3.3draft1,"['Betula extremiorientalis', 'Betula fruticans', 'Betula fruticosa extremiorientalis', 'Betula humilis calcarata', 'Betula humilis camtschatica', 'Betula humilis commutata', 'Betula humilis crispa', 'Betula humilis cuneata', 'Betula humilis elliptica', 'Betula humilis genuina', 'Betula humilis obovata', 'Betula humilis oycowiensis', 'Betula humilis socolowii', 'Betula humilis subcordata', 'Betula humilis vulgaris', 'Betula kamtschatica', 'Betula myrsinoides', 'Betula oycowiensis', 'Betula oycowiensis Rchb., 1850, non Besser, 1809', 'Betula palustris', 'Betula sibirica', 'Betula socolowii', 'Chamaebetula humilis']","['ncbi:216991', 'gbif:5331629', 'irmng:10690318']",Betula humilis
False,True,Betula humilis,ICN,1.0,betula humilis,[],False,False,Betula lenta,567472,species,ott3.3draft1,"['Betula carpinifolia', 'Betula excelsa', 'Betula humilis', 'Betula lenta genuina', 'Betula uber']","['ncbi:216994', 'gbif:5331709', 'irmng:10859215']",Betula lenta
False,False,Brimeura fastigiata,ICN,1.0,brimeura fastigiata,[],False,False,Brimeura fastigiata,3969648,species,ott3.3draft1,"['Brimeura pouzolzii', 'Charistemma fastigiata', 'Hyacinthus fastigiatus', 'Hyacinthus pouzolzii', 'Hyacinthus pouzolzii albiflorus', 'Hyacinthus pouzolzii bulbilifer', 'Scilla fastigiata']",['gbif:2767934'],Brimeura fastigiata
False,False,Brocchinia reducta,ICN,1.0,brocchinia reducta,[],False,False,Brocchinia reducta,573272,species,ott3.3draft1,[],"['ncbi:230702', 'gbif:5287602']",Brocchinia reducta
False,False,Campanula troegerae,ICN,1.0,campanula troegerae,['sibling_higher'],False,False,Campanula troegerae,1062695,species,ott3.3draft1,[],"['ncbi:1241207', 'gbif:5411062']",Campanula troegerae
False,False,Carex tomentosa,ICN,1.0,carex tomentosa,['sibling_higher'],False,False,Carex tomentosa,1030622,species,ott3.3draft1,"['Carex bruckneri', 'Carex brueckneri', 'Carex caesia', 'Carex grasmanniana', 'Carex nordmannii', 'Carex sphaerocarpa', 'Carex subvillosa', 'Carex tomentosa caesia', 'Carex tomentosa decalvescens', 'Carex tomentosa globifera', 'Carex tomentosa gracilis', 'Carex tomentosa gracillima', 'Carex tomentosa grasmanniana', 'Carex tomentosa grossmanniana', 'Carex tomentosa gynandra', 'Carex tomentosa lucana', 'Carex tomentosa luxuriosa', 'Carex tomentosa nigrescens', 'Carex tomentosa nordmannii', 'Carex tomentosa pallida', 'Carex tomentosa subvillosa', 'Trasus tomentosus']","['ncbi:140859', 'gbif:8346717']",Carex tomentosa
False,True,Carex tomentosa,ICN,1.0,carex tomentosa,['sibling_higher'],False,False,Carex globularis,929916,species,ott3.3draft1,"['Carex globularis depauperata', 'Carex globularis mitsuriokensis', 'Carex mitsuriokensis', 'Carex oligogyna', 'Carex tomentosa', 'Onkerma globularis']","['ncbi:140819', 'gbif:2724517']",Carex globularis
False,False,Cephalanthus occidentalis,ICN,1.0,cephalanthus occidentalis,[],False,False,Cephalanthus occidentalis,581830,species,ott3.3draft1,"['Cephalanthus acuminatus', 'Cephalanthus angustifolius', 'Cephalanthus berlandieri', 'Cephalanthus hansenii', 'Cephalanthus obtusifolius', 'Cephalanthus occidentalis brachypodus', 'Cephalanthus occidentalis californicus', 'Cephalanthus occidentalis lanceolatus', 'Cephalanthus occidentalis macrophyllus', 'Cephalanthus occidentalis obtusifolius', 'Cephalanthus occidentalis pubescens', 'Cephalanthus oppositifolius', 'Cephalanthus pubescens', 'buttonbush']","['ncbi:43461', 'gbif:2923947', 'irmng:10856143']",Cephalanthus occidentalis
False,False,Cephalaria gigantea,ICN,1.0,cephalaria gigantea,[],False,False,Cephalaria gigantea,3892199,species,ott3.3draft1,"['Cephalaria caucasica', 'Cephalaria sosnowskyi', 'Cephalaria tatarica', 'Cerionanthus tataricus', 'Lepicephalus caucasicus', 'Lepicephalus giganteus', 'Scabiosa gigantea']","['ncbi:1640870', 'gbif:2888797', 'irmng:10683276']",Cephalaria gigantea
False,True,Chiastophyllum oppositifolium,ICN,1.0,chiastophyllum oppositifolium,[],False,False,Umbilicus oppositifolius,5729807,species,ott3.3draft1,"['Chiastophyllum oppositifolium', 'Cotyledon oppositifolia', 'Sedum oppositifolium']","['ncbi:1538677', 'gbif:5689325']",Umbilicus oppositifolius
False,False,Chrysopogon gryllus,ICN,1.0,chrysopogon gryllus,['incertae_sedis_inherited'],False,False,Chrysopogon gryllus,186959,species,ott3.3draft1,"['Andropogon echinulatus', 'Andropogon glabratus', 'Andropogon gryllus', 'Andropogon gryllus aureus', 'Andropogon gryllus echinulatus', 'Andropogon paniculatus', 'Andropogon royleanus', 'Apluda gryllus', 'Chloris gryllus', 'Chrysopogon aciculatus echinulatus', 'Chrysopogon echinulatus', 'Chrysopogon glabratus', 'Chrysopogon gryllus aureus', 'Chrysopogon gryllus echinulatus', 'Chrysopogon gryllus flavescens', 'Chrysopogon gryllus glabratus', 'Chrysopogon royleanus', 'Chrysopogon verticillatus', 'Diectomis gryllus', 'Eulalia glabrata', 'Eulalia gracillima', 'Holcus gryllus', 'Microstegium glabratum', 'Microstegium gracillimum', 'Nemastachys tahitensis', 'Nemastachys taitensis', 'Pogonatherum glabratum', 'Pollinia glabrata', 'Pollinia glabrata luzonensis', 'Pollinia gracillima', 'Pollinia gryllus', 'Pollinia gryllus flavescens', 'Pollinia monantha leptathera', 'Rhaphis echinulata', 'Rhaphis gryllus', 'Rhaphis royleana', 'Sorghum gryllus']","['ncbi:79832', 'gbif:5674318']",Chrysopogon gryllus
